Location.ID,District,popgroup,Stratum,population
33940,Al-Falluja,idp_out_camp,Al-Falluja,115
107,Al-Falluja,idp_out_camp,Al-Falluja,658
26088,Al-Falluja,idp_out_camp,Al-Falluja,64
26092,Al-Falluja,idp_out_camp,Al-Falluja,241
33941,Al-Falluja,idp_out_camp,Al-Falluja,75
26087,Al-Falluja,idp_out_camp,Al-Falluja,173
26036,Al-Falluja,idp_out_camp,Al-Falluja,19
26085,Al-Falluja,idp_out_camp,Al-Falluja,218
33939,Al-Falluja,idp_out_camp,Al-Falluja,112
26037,Al-Falluja,idp_out_camp,Al-Falluja,160
26091,Al-Falluja,idp_out_camp,Al-Falluja,110
23853,Al-Falluja,idp_out_camp,Al-Falluja,12
23858,Al-Ramadi,idp_out_camp,Al-Ramadi,57
33826,Al-Ramadi,idp_out_camp,Al-Ramadi,77
23889,Al-Ramadi,idp_out_camp,Al-Ramadi,474
308,Al-Ramadi,idp_out_camp,Al-Ramadi,129
115,Al-Ramadi,idp_out_camp,Al-Ramadi,225
182,Al-Ramadi,idp_out_camp,Al-Ramadi,53
166,Al-Rutba,idp_out_camp,Al-Rutba,100
231,Al-Rutba,idp_out_camp,Al-Rutba,86
165,Al-Rutba,idp_out_camp,Al-Rutba,80
150,Al-Rutba,idp_out_camp,Al-Rutba,54
167,Al-Rutba,idp_out_camp,Al-Rutba,63
23935,Al-Rutba,idp_out_camp,Al-Rutba,40
233,Al-Rutba,idp_out_camp,Al-Rutba,43
23888,Al-Rutba,idp_out_camp,Al-Rutba,20
34002,Heet,idp_out_camp,Heet,28
152,Heet,idp_out_camp,Heet,65
312,Heet,idp_out_camp,Heet,16
219,Heet,idp_out_camp,Heet,48
33822,Heet,idp_out_camp,Heet,8
23885,Heet,idp_out_camp,Heet,14
857,Al-Basrah,idp_out_camp,Al-Basrah,6
21097,Al-Basrah,idp_out_camp,Al-Basrah,17
1308,Al-Basrah,idp_out_camp,Al-Basrah,8
847,Al-Basrah,idp_out_camp,Al-Basrah,10
891,Al-Basrah,idp_out_camp,Al-Basrah,12
24126,Al-Basrah,idp_out_camp,Al-Basrah,10
907,Al-Basrah,idp_out_camp,Al-Basrah,7
893,Al-Basrah,idp_out_camp,Al-Basrah,10
898,Al-Basrah,idp_out_camp,Al-Basrah,6
1295,Al-Basrah,idp_out_camp,Al-Basrah,9
24182,Al-Basrah,idp_out_camp,Al-Basrah,10
20340,Al-Kufa,idp_out_camp,Al-Kufa,6
25890,Al-Kufa,idp_out_camp,Al-Kufa,15
20298,Al-Kufa,idp_out_camp,Al-Kufa,68
20046,Al-Kufa,idp_out_camp,Al-Kufa,6
24311,Al-Kufa,idp_out_camp,Al-Kufa,125
20304,Al-Kufa,idp_out_camp,Al-Kufa,253
29598,Al-Najaf,idp_out_camp,Al-Najaf,185
34007,Al-Najaf,idp_out_camp,Al-Najaf,250
20341,Al-Najaf,idp_out_camp,Al-Najaf,60
25431,Al-Najaf,idp_out_camp,Al-Najaf,67
29658,Al-Najaf,idp_out_camp,Al-Najaf,42
26015,Al-Najaf,idp_out_camp,Al-Najaf,10
29621,Al-Najaf,idp_out_camp,Al-Najaf,120
20338,Al-Najaf,idp_out_camp,Al-Najaf,56
20287,Al-Najaf,idp_out_camp,Al-Najaf,100
20122,Al-Najaf,idp_out_camp,Al-Najaf,65
25568,Al-Diwaniya,idp_out_camp,Al-Diwaniya,11
25070,Al-Diwaniya,idp_out_camp,Al-Diwaniya,7
