num,psu,n,new_ID,name,district,governorate,label
1,308,1,cluster_location_id_1,5 Kilo,Al-Ramadi,Al-Anbar,1_5 Kilo
2,23889,1,cluster_location_id_2,7 Killo-al-mojamaa al-sakany,Al-Ramadi,Al-Anbar,2_7 Killo-al-mojamaa al-sakany
3,23858,1,cluster_location_id_3,Abu Fless,Al-Ramadi,Al-Anbar,3_Abu Fless
4,100,1,cluster_location_id_4,Abu Tibban,Heet,Al-Anbar,4_Abu Tibban
5,26088,1,cluster_location_id_5,Ahl Al-Ramadi 74,Al-Falluja,Al-Anbar,5_Ahl Al-Ramadi 74
6,133,1,cluster_location_id_6,Al Aadil,Al-Ramadi,Al-Anbar,6_Al Aadil
7,107,1,cluster_location_id_7,Al Amiriyah,Al-Falluja,Al-Anbar,7_Al Amiriyah
8,23792,1,cluster_location_id_8,Al Angaa,Al-Kaim,Al-Anbar,8_Al Angaa
9,165,1,cluster_location_id_9,Al Askaree,Al-Rutba,Al-Anbar,9_Al Askaree
10,200,1,cluster_location_id_10,Al Askaree,Ana,Al-Anbar,10_Al Askaree
11,25650,1,cluster_location_id_11,Al Askari,Al-Ramadi,Al-Anbar,11_Al Askari
12,23647,1,cluster_location_id_12,Al Aubaidi Al Qadima,Al-Kaim,Al-Anbar,12_Al Aubaidi Al Qadima
13,163,1,cluster_location_id_13,Al Baker,Heet,Al-Anbar,13_Al Baker
14,248,1,cluster_location_id_14,Al bor (Shishan),Ana,Al-Anbar,14_Al bor (Shishan)
15,21321,1,cluster_location_id_15,Al Daffar,Al-Falluja,Al-Anbar,15_Al Daffar
16,29579,1,cluster_location_id_16,Al Dhubat 2,Al-Ramadi,Al-Anbar,16_Al Dhubat 2
17,150,1,cluster_location_id_17,Al Haara,Al-Rutba,Al-Anbar,17_Al Haara
18,152,1,cluster_location_id_18,Al Muhamdee,Heet,Al-Anbar,18_Al Muhamdee
19,23791,1,cluster_location_id_19,Al Nahda Al-Sharqiyah,Al-Kaim,Al-Anbar,19_Al Nahda Al-Sharqiyah
20,264,1,cluster_location_id_20,Al Qaala,Ana,Al-Anbar,20_Al Qaala
21,29534,1,cluster_location_id_21,Al Shuhadaa Qtr,Al-Ramadi,Al-Anbar,21_Al Shuhadaa Qtr
22,169,1,cluster_location_id_22,Al Shurta,Al-Falluja,Al-Anbar,22_Al Shurta
