list_name,name,label::English,label::Arabic,filter,,,,,,,,,,,,,,,,,,,,,
dc_method,in_person,Face to face interview,مقابلة وجهاً لوجه,,,,,,,,,,,,,,,,,,,,,,
dc_method,remote,Remote phone based interview,مقابلة عن طريق الاتصال,,,,,,,,,,,,,,,,,,,,,,
idp_returnee,idp,IDP,نازح,,,,,,,,,,,,,,,,,,,,,,
idp_returnee,returnee,Returnee,عائد,,,,,,,,,,,,,,,,,,,,,,
call_status,off,Phone was off,كان الهاتف مغلقاً,,,,,,,,,,,,,,,,,,,,,,
call_status,wrong_number,Wrong number,الرقم غلط,,,,,,,,,,,,,,,,,,,,,,
call_status,busy,Line was busy,الخط مشغول,,,,,,,,,,,,,,,,,,,,,,
call_status,no_answer,No answer,لم تتم الاجابة على المكالمة,,,,,,,,,,,,,,,,,,,,,,
call_status,answered,Answered ,تمت الاجابة على المكالمة,,,,,,,,,,,,,,,,,,,,,,
explosive,killed,"Yes, killed","نعم، قُتِل",,,,,,,,,,,,,,,,,,,,,,
explosive,injured,"Yes, injured","نعم، جُرِح",,,,,,,,,,,,,,,,,,,,,,
explosive,no,No,كلا,,,,,,,,,,,,,,,,,,,,,,
explosive,decline_to_answer,Decline to answer,يفضل عدم الاجابة,,,,,,,,,,,,,,,,,,,,,,
water_source,network_private,Piped water into compound,شبكة أنابيب المياه في المجمع,,,,,,,,,,,,,,,,,,,,,,
water_source,network_comm,Piped water connected to public tap,أنابيب المياه متصلة بالصنبور العام,,,,,,,,,,,,,,,,,,,,,,
water_source,borehole,Borehole,بئر مياه,,,,,,,,,,,,,,,,,,,,,,
water_source,prot_well,Protected well,بئر محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,prot_tank,Protected rainwater tank,مخزون من مياه الامطار محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,prot_spring,Protected spring,ينبوع محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,bottled_water,Bottled water,مياه معبأة,,,,,,,,,,,,,,,,,,,,,,
water_source,water_trucking,Water Trucking,نقل المياه بالشاحنات,,,,,,,,,,,,,,,,,,,,,,
water_source,illegal_connection,Illegal connection to piped network,اتصال غير قانوني بشبكة الأنابيب للمياه,,,,,,,,,,,,,,,,,,,,,,
water_source,unprot_tank,Unprotected rainwater tank,مخزون من مياه الامطار  غير محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,unprot_well,Unprotected well,بئر غير محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,unprot_spring,Unprotected spring,ينبوع غير محمي,,,,,,,,,,,,,,,,,,,,,,
water_source,surface_water,"Surface water without pre-treatment (river, dam, lake, pond, stream, canal)","المياه السطحية دون معالجة مسبقة (النهر ، السد ، البحيرة ، البركة ، جدول ، القناة)",,,,,,,,,,,,,,,,,,,,,,
water_source,other,Other,اخرى,,,,,,,,,,,,,,,,,,,,,,
water_treating,always,"Yes, we always treat it before drinking","نعم ، نعالجها دائمًا قبل الشرب",,,,,,,,,,,,,,,,,,,,,,
water_treating,sometimes,"Yes, we sometimes treat it before drinking","نعم ، نعالجها أحيانًا قبل الشرب",,,,,,,,,,,,,,,,,,,,,,
water_treating,never,"No, we never treat it before drinking","كلا ، لا نعالجه أبدًا قبل الشرب",,,,,,,,,,,,,,,,,,,,,,
water_treating,dont_know,Don't know,لا اعلم,,,,,,,,,,,,,,,,,,,,,,
why_safer_drinking,not_clear,The water is not clear,المياه ليست نظيفة,,,,,,,,,,,,,,,,,,,,,,
why_safer_drinking,tastes_unpleasant,The water tastes unpleasant,طعم الماء غير جيد,,,,,,,,,,,,,,,,,,,,,,
why_safer_drinking,smells_unpleasant,The water smells unpleasant,رائحة الماء غير جيدة,,,,,,,,,,,,,,,,,,,,,,
why_safer_drinking,none,None of the above,لاشيئ مما سبق,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,collected,Collected by municipality,يتم تجميعها من قبل البلدية,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,communal_bin,Communal garbage bin,صندوق حاوية قمامة عام,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,rubbish_pit,Rubbish Pit,حفرة القمامة,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,burning,Burning,حرق القمامة,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,throw_in_street,Throw in street / open space,رمي في الشارع / مساحة مفتوحة,,,,,,,,,,,,,,,,,,,,,,
waste_disposal,other,Other,اخرى,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,every_day,Every day,كل يوم,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,every_week,Every week,كل اسبوع,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,every_2_weeks,Every two weeks,كل اسبوعين,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,every_month,Every month,كل شهر,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,more_than_monthly,More than every month,اكثر من شهر واحد,,,,,,,,,,,,,,,,,,,,,,
waste_disposal_freq,not_available,Service not available,الخدمة غير متاحة,,,,,,,,,,,,,,,,,,,,,,
latrines,flush,Flush or Pour flush toilet,‘ تواليت تقليدي أو فرنجي’,,,,,,,,,,,,,,,,,,,,,,
latrines,pit,Pit latrine without a slab or platform,حفرة مرحاض من دون صبة ( بطة),,,,,,,,,,,,,,,,,,,,,,
latrines,pit_slab,Pit latrine with a slab or platform,حفرة مرحاض مع صبة ( بطة),,,,,,,,,,,,,,,,,,,,,,
latrines,open,Open hole,حفرة مفتوحة,,,,,,,,,,,,,,,,,,,,,,
latrines,vip_pit,Pit VIP toilet,تواليت افرنجي مع تكييف وشافط للرائحة,,,,,,,,,,,,,,,,,,,,,,
latrines,bucket,Bucket toilet,مرحاض دلو او سطل,,,,,,,,,,,,,,,,,,,,,,
latrines,plastic_bag,Plastic bag,كيس بلاستيك,,,,,,,,,,,,,,,,,,,,,,
latrines,hanging_toilet,Hanging toilet/latrine,تواليت معلّق,,,,,,,,,,,,,,,,,,,,,,
latrines,none,I don’t have access to a functional toilet,لا استيطع الوصول الى تواليت او مرحاض يعمل,,,,,,,,,,,,,,,,,,,,,,
latrines,other,Other,اخرى,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,not,Don't use soap,نستطيع الوصول الى الصابون ولكن لا نستخدمه,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,handwashing,Handwashing,نستخدمه لغسل اليدين,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,bathing,Bathing,للاستحمام,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,laundry,Laundry,للغسيل,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,dish_washing,Dish washing,للجلي او غسل الصحون,,,,,,,,,,,,,,,,,,,,,,
use_of_soap,other,Other,اخرى,,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,lack_insulation,Lack of insulation from cold,عدم وجود عازل من البرد,,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,leaks_heavy_rain,Leaks during light rain,تسرب أثناء المطر الخفيف,,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,leaks_light_rain,Leaks during heavy rain,تسرب أثناء الأمطار الغزيرة,,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,limited_ventilation,Limited ventilation (less than 0.5m2 ventilation in each room including kitchen),تهوية محدودة (تهوية أقل من 0.5 م 2 في كل غرفة بما في ذلك المطبخ),,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,debris_removable,Presence of dirt or debris (removable),وجود أوساخ أو حطام (قابل للإزالة),,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,debris_non_removable,Presence of dirt or debris (non-removable),وجود أوساخ أو حطام (غير قابل للإزالة),,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,none,None of the above,لاشيئ مما سبق,,,,,,,,,,,,,,,,,,,,,,
enclosure_issues,unsure,Not sure,لا اعلم,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,al.anbar,Al-Anbar,الأنبار,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,babil,Babil,بابل,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,baghdad,Baghdad,بغداد,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,al.basrah,Al-Basrah,البصرة,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,duhok,Duhok,دهوك,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,diyala,Diyala,ديالى,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,erbil,Erbil,اربيل,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,kerbala,Kerbala,كربلاء,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,maysan,Maysan,ميسان,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,al.najaf,Al-Najaf,النجف,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,ninewa,Ninewa,نينوى,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,al.qadissiya,Al-Qadissiya,القادسية,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,al.sulaymaniyah,Al-Sulaymaniyah,السليمانية,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,thi.qar,Thi-Qar,ذي قار,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,wassit,Wassit,واسط,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,kirkuk,Kirkuk,كركوك,,,,,,,,,,,,,,,,,,,,,,
governorate_mcna,salah.al.din,Salah Al-Din,صلاح الدين,,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.falluja,Al-Falluja,الفلوجة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.kaim,Al-Kaim,القائم,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.ramadi,Al-Ramadi,الرمادي,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.rutba,Al-Rutba,الرطبة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,ana,Ana,عانه,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,haditha,Haditha,حديثة,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,heet,Heet,هيت,al.anbar,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.basrah,Al-Basrah,البصرة,al.basrah,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.kufa,Al-Kufa,الكوفة,al.najaf,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.najaf,Al-Najaf,النجف,al.najaf,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.diwaniya,Al-Diwaniya,الديوانية,al.qadissiya,,,,,,,,,,,,,,,,,,,,,
district_mcna,al.sulaymaniyah,Al-Sulaymaniyah,السليمانية,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_mcna,chamchamal,Chamchamal,جمجمال,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_mcna,derbendikhan,Derbendikhan,دربنديخان,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_mcna,dokan,Dokan,دوكان,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_mcna,halabcha,Halabcha,حلبجة,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
district_mcna,kalar,Kalar,كلار,al.sulaymaniyah,,,,,,,,,,,,,,,,,,,,,
