type,name,label::English,label::Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,,,,,,,,,,,
start,start,,,,,,,,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,,,,,,,,
today,date_assessment,,,,,,,,,,,,,,,,,,,,,,,,
audit,audit,,,,,,,,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,,,,,,,,
integer,enumerator_num,1. Please record your enumerator number,رقم العامل,To be filled in by enumerator,يتم ادخالها من قبل الموظف,true,,,,,,,,,,,,,,,,,,,
select_one dc_method,dc_method,2. Is this interview conducted face to face or remotely over the phone?,هل تم اجراء هذه المقابلة وجهاً لوجه ام انها كانت عن طرق الاتصال بالهاتف؟,,,,,,,,,,,,,,,,,,,,,,
begin_group,remote,Remote Interview,,,,,"selected(${dc_method}, 'remote')",,,,,,,,,,,,,,,,,,
select_one yes_no,consent_remote,"4. Hello, my name is ___ and I work for REACH Initiative. Since 2012, my organization has been conducting interviews with people across Iraq to inform the humanitarian response in Iraq. We ask households about their living conditions and challenges, in order to get a better understanding of how aid organizations can support the people of Iraq. Usually we do this face to face, but due to the COVID-19 pandemic, it is better to call people instead. This interview will take around 40 minutes, whatever you say is treated with strict confidentiality and your answers remain anonymous at all time (no personal information will be shared with anyone, not even whether you participated in this interview or not). You are free to stop the interview at any time, or decline to answer certain questions. The information you provide us will be used in reports and shared with humanitarian decision-makers in Iraq. Do you agree to participate? ","مرحبًا ، اسمي ___ وأعمل في مبادرة REACH. منذ عام 2012 ، تجري منظمتي مقابلات مع أشخاص في جميع أنحاء العراق لإبلاغ الاستجابة الإنسانية في العراق. نسأل الأسر عن ظروف معيشتهم وتحدياتهم ، من أجل الحصول على فهم أفضل لكيفية مساعدة منظمات المساعدة لشعب العراق. عادة نقوم بذلك وجهاً لوجه ، ولكن بسبب جائحة COVID-19 ، من الأفضل الاتصال بالأشخاص بدلاً من ذلك. ستستغرق هذه المقابلة حوالي 40 دقيقة ، أيًا كان ما تقوله يتم التعامل معه بسرية تامة وستظل إجاباتك مجهولة في جميع الأوقات (لن تتم مشاركة أي معلومات شخصية مع أي شخص ، حتى إذا كنت قد شاركت في هذه المقابلة أم لا). لك مطلق الحرية في إيقاف المقابلة في أي وقت ، أو رفض الإجابة على أسئلة معينة. سيتم استخدام المعلومات التي تقدمها لنا في التقارير ومشاركتها مع صناع القرار الإنساني في العراق. هل توافق على المشاركة؟",,,true,,,.='yes',End survey if the person is not willing to participate,الرجاء انهاء الاستبيان اذا كان المجيب لا يريد التكلم,,,,,,,,,,,,,,
select_one governorate_mcna,governorate_mcna_r,5. Which governorate do you currently live in?,المحافظة الحالية,"If the governorate cannot be found on the list, the household is not eligible for the MCNA","اذا لم تجد اسم المحافظة في اللائحة، فهذا يعني بأن الاسرة ليست مؤهلة للمقابلة في هذا الاستبيان",true,,,,,,,,,,,,,,,,,,,
