district,popgroup,population
Al-Baaj,returnee,6162
Al-Daur,returnee,10081
Al-Falluja,returnee,94177
Al-Hamdaniya,returnee,29874
Al-Hatra,returnee,7566
Al-Hawiga,returnee,25562
Al-Kadhmiyah,returnee,4945
Al-Kaim,returnee,15084
Al-Khalis,returnee,13435
Al-Mahmoudiya,returnee,8676
Al-Mosul,returnee,167465
Al-Muqdadiya,returnee,8310
Al-Mussyab,returnee,770
Al-Ramadi,returnee,97225
Al-Rutba,returnee,4588
Al-Shikhan,returnee,299
Al-Shirqat,returnee,22839
Ana,returnee,4842
Balad,returnee,13022
Beygee,returnee,22815
Daquq,returnee,975
Dibis,returnee,1206
Haditha,returnee,4525
Heet,returnee,29284
Khanaqin,returnee,16316
Kirkuk,returnee,27113
Makhmour,returnee,7725
Samarra,returnee,9844
Sinjar,returnee,12041
Telafar,returnee,57839
Tikrit,returnee,29486
Tilkaef,returnee,20512
Tooz Khurmato,returnee,8090
Zakho,returnee,1304
Al-Adhamiya,out_of_camp,491
Al-Amadiya,out_of_camp,507
Al-Baaj,out_of_camp,1188
Al-Basrah,out_of_camp,287
Al-Diwaniya,out_of_camp,354
Al-Falluja,out_of_camp,2281
Al-Hamdaniya,out_of_camp,4340
Al-Hatra,out_of_camp,211
Al-Kadhmiyah,out_of_camp,1870
Al-Kahla,out_of_camp,204
Al-Karkh,out_of_camp,1489
Al-Khalis,out_of_camp,732
Al-Kufa,out_of_camp,504
Al-Kut,out_of_camp,664
Al-Mahmoudiya,out_of_camp,955
Al-Mosul,out_of_camp,16145
Al-Mussyab,out_of_camp,2341
Al-Najaf,out_of_camp,1418
Al-Nasiriya,out_of_camp,227
Al-Ramadi,out_of_camp,1117
Al-Rutba,out_of_camp,516
Al-Shikhan,out_of_camp,3633
Al-Sulaymaniyah,out_of_camp,12488
Aqra,out_of_camp,4136
Balad,out_of_camp,1307
Baquba,out_of_camp,3702
Chamchamal,out_of_camp,1692
Daquq,out_of_camp,861
Derbendikhan,out_of_camp,1053
Dibis,out_of_camp,348
Dokan,out_of_camp,774
Duhok,out_of_camp,5152
Erbil,out_of_camp,31104
Halabcha,out_of_camp,613
Heet,out_of_camp,232
Kalar,out_of_camp,2317
Kerbela,out_of_camp,2208
Khanaqin,out_of_camp,1806
Kifri,out_of_camp,2188
Kirkuk,out_of_camp,13629
Koysinjaq,out_of_camp,587
Rania,out_of_camp,406
Rawanduz,out_of_camp,407
Samarra,out_of_camp,3039
Shaqlawa,out_of_camp,852
Sinjar,out_of_camp,4273
Sumail,out_of_camp,13647
Telafar,out_of_camp,1478
Tikrit,out_of_camp,3113
Tilkaef,out_of_camp,3230
Tooz Khurmato,out_of_camp,3975
Zakho,out_of_camp,8473
