"","district_ocha","reported_incidents","concern_uxo","total_group_entries","rate_reported_incidents","rate_concern_uxo","s_28"
"1","abu.al.khaseeb",0,0,21,0,0,1
"2","afaq",0,0,16,0,0,1
"3","ain.al.tamur",0,0,3,0,0,1
"4","al.adhamiya",0,0,41,0,0,1
"5","al.amadiya",1,2,26,0.0384615384615385,0.0769230769230769,3
"6","al.baaj",0,2,91,0,0.021978021978022,2
"7","al.basrah",0,0,34,0,0,1
"8","al.daur",0,1,11,0,0.0909090909090909,2
"9","al.diwaniya",0,0,44,0,0,1
"10","al.falluja",0,1,90,0,0.0111111111111111,2
"11","al.hai",0,0,7,0,0,1
"12","al.hamdaniya",3,0,73,0.0410958904109589,0,3
"13","al.hamza",0,0,1,0,0,1
"14","al.hashimiya",0,0,5,0,0,1
"15","al.hatra",0,5,79,0,0.0632911392405063,2
"16","al.hawiga",0,3,132,0,0.0227272727272727,2
"17","al.hilla",0,0,13,0,0,1
"18","al.hindiya",0,0,8,0,0,1
"19","al.kadhmiyah",0,0,148,0,0,1
"20","al.kahla",0,0,16,0,0,1
"21","al.kaim",0,0,42,0,0,1
"22","al.karkh",0,0,93,0,0,1
"23","al.khalis",12,40,115,0.104347826086957,0.347826086956522,5
"24","al.kufa",0,0,11,0,0,1
"25","al.kut",0,0,43,0,0,1
"26","al.mada.in",0,0,7,0,0,1
"27","al.mahaweel",0,0,3,0,0,1
"28","al.mahmoudiya",0,0,87,0,0,1
"29","al.manathera",0,0,2,0,0,1
"30","al.mejar.al.kabir",0,0,2,0,0,1
"31","al.midaina",0,0,3,0,0,1
"32","al.mosul",12,17,336,0.0357142857142857,0.0505952380952381,3
"33","al.muqdadiya",9,10,53,0.169811320754717,0.188679245283019,4
"34","al.mussyab",0,0,43,0,0,1
"35","al.najaf",0,0,36,0,0,1
"36","al.namaniya",0,0,6,0,0,1
"37","al.nasiriya",1,0,24,0.0416666666666667,0,3
"38","al.qurna",0,0,4,0,0,1
"39","al.ramadi",0,3,73,0,0.0410958904109589,2
"40","al.rifai",2,0,11,0.181818181818182,0,4
"41","al.risafa",0,0,25,0,0,1
"42","al.rumaitha",0,0,4,0,0,1
"43","al.rutba",0,1,9,0,0.111111111111111,2
"44","al.samawa",0,0,6,0,0,1
"45","al.shamiya",0,0,8,0,0,1
"46","al.shikhan",0,0,28,0,0,1
"47","al.shirqat",1,41,48,0.0208333333333333,0.854166666666667,3
"48","al.sulaymaniyah",0,0,214,0,0,1
"49","al.suwaira",0,0,17,0,0,1
"50","al.thawra",0,0,3,0,0,1
"51","al.zubair",0,0,15,0,0,1
"52","ana",2,10,23,0.0869565217391304,0.434782608695652,3
"53","aqra",0,0,18,0,0,1
"54","badra",0,0,5,0,0,1
"55","balad",0,5,30,0,0.166666666666667,2
"56","baladruz",0,0,4,0,0,1
"57","baquba",2,2,60,0.0333333333333333,0.0333333333333333,3
"58","beygee",6,5,56,0.107142857142857,0.0892857142857143,4
"59","chamchamal",0,0,42,0,0,1
"60","daquq",2,1,18,0.111111111111111,0.0555555555555556,4
"61","derbendikhan",0,0,22,0,0,1
"62","dibis",0,0,10,0,0,1
"63","dokan",0,0,24,0,0,1
"64","duhok",0,0,52,0,0,1
"65","erbil",0,0,114,0,0,1
"66","haditha",0,4,34,0,0.117647058823529,2
"67","halabcha",0,0,27,0,0,1
"68","heet",4,18,66,0.0606060606060606,0.272727272727273,3
"69","kalar",0,0,31,0,0,1
"70","kerbela",0,0,93,0,0,1
"71","khanaqin",0,15,118,0,0.127118644067797,2
"72","kifri",0,0,29,0,0,1
"73","kirkuk",1,1,67,0.0149253731343284,0.0149253731343284,3
"74","koysinjaq",0,0,14,0,0,1
"75","makhmour",0,2,48,0,0.0416666666666667,2
"76","pshdar",0,0,1,0,0,1
"77","qalat.saleh",0,0,1,0,0,1
"78","rania",0,0,27,0,0,1
"79","rawanduz",0,0,10,0,0,1
"80","samarra",5,2,36,0.138888888888889,0.0555555555555556,4
"81","shaqlawa",0,0,14,0,0,1
"82","sharbazher",0,0,3,0,0,1
"83","shat.al.arab",0,0,5,0,0,1
"84","sinjar",0,2,93,0,0.021505376344086,2
"85","sumail",0,0,48,0,0,1
"86","suq.al.shoyokh",0,0,9,0,0,1
"87","telafar",1,5,165,0.00606060606060606,0.0303030303030303,3
"88","tikrit",1,1,54,0.0185185185185185,0.0185185185185185,3
"89","tilkaef",0,1,76,0,0.0131578947368421,2
"90","tooz.khurmato",11,16,39,0.282051282051282,0.41025641025641,5
"91","zakho",0,0,33,0,0,1
"92",NA,0,0,3,0,0,1
