"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.046875","0.0159380187201667","0.0778119812798333","0.5625","0.489892304025512","0.635107695974488","0.3515625","0.281680118448122","0.421444881551878","0.0390625","0.0107055216329055","0.0674194783670945","0","0","0"
"Al-Sulaymaniyah","Kalar","0.0158730158730159","-0.0103326588170119","0.0420786905630436","0.587301587301587","0.484076077412683","0.690527097190491","0.333333333333333","0.234493092865458","0.432173573801208","0.0476190476190476","0.00296757842515738","0.0922705168129378","0.0158730158730159","-0.0103326588170119","0.0420786905630436"
"Baghdad","Al-Kadhmiyah","0","0","0","0.6","0.479065434735537","0.720934565264463","0.4","0.279065434735537","0.520934565264463","0","0","0","0","0","0"
"Diyala","Baquba","0","0","0","0.488888888888889","0.365418550004066","0.612359227773712","0.422222222222222","0.300224743269292","0.544219701175152","0.0666666666666667","0.00505362428637468","0.128279709046959","0.0222222222222222","-0.0141871943623505","0.0586316388067949"
"Diyala","Khanaqin","0","0","0","0.569060773480663","0.508290798172483","0.629830748788843","0.408839779005525","0.348510116626223","0.469169441384827","0.0110497237569061","-0.00177844485211229","0.0238778923659244","0.0110497237569061","-0.0017784448521123","0.0238778923659244"
"Duhok","Al-Amadiya","0.03125","-0.00488812495461451","0.0673881249546145","0.53125","0.42760344812467","0.63489655187533","0.390625","0.289290557977777","0.491959442022223","0.015625","-0.0101337656141815","0.0413837656141815","0.03125","-0.00488812495461451","0.0673881249546145"
"Duhok","Sumail","0.0117370892018779","0.00313104421704806","0.0203431341867078","0.511737089201878","0.471794383904192","0.551679794499564","0.389671361502347","0.35070244957526","0.428640273429435","0.0704225352112676","0.0499775979541462","0.090867472468389","0.0164319248826291","0.00627333112406652","0.0265905186411917"
"Duhok","Zakho","0.0255474452554745","0.00981112546097833","0.0412837650499706","0.605839416058394","0.557101781880898","0.65457705023589","0.288321167883212","0.243142921099535","0.333499414666888","0.0693430656934307","0.0440066361798451","0.0946794952070162","0.0109489051094891","0.000570185126771327","0.0213276250922068"
"Erbil","Erbil","0.00806451612903226","-0.00523128121206258","0.0213603134701271","0.548387096774194","0.474407782582905","0.622366410965482","0.42741935483871","0.353878454877263","0.500960254800156","0.0161290322580645","-0.00259747331976644","0.0348555378358955","0","0","0"
"Erbil","Makhmour","0.0294117647058824","-0.00454043434352554","0.0633639637552902","0.470588235294118","0.370286792021669","0.570889678566566","0.485294117647059","0.384862158453071","0.585726076841047","0.0147058823529412","-0.00948314157281578","0.0388949062786981","0","0","0"
"Kirkuk","Kirkuk","0","0","0","0.487603305785124","0.412563374808512","0.562643236761736","0.454545454545455","0.379793270187015","0.529297638903895","0.0495867768595041","0.0169959693883505","0.0821775843306578","0.00826446280991736","-0.00532684343707174","0.0218557690569064"
"Ninewa","Al-Hamdaniya","0","0","0","0.271375464684015","0.226623244936496","0.316127684431533","0.695167286245353","0.648838294874214","0.741496277616492","0.033457249070632","0.0153591465298851","0.0515553516113788","0","0","0"
"Ninewa","Al-Mosul","0","0","0","0.311926605504587","0.260095916851385","0.363757294157789","0.623853211009174","0.569657705233173","0.678048716785176","0.0642201834862385","0.0367939609947205","0.0916464059777566","0","0","0"
"Ninewa","Al-Shikhan","0.0344827586206897","0.0133469786036336","0.0556185386377457","0.571428571428571","0.514105448118311","0.628751694738831","0.344827586206897","0.289770139773784","0.39988503264001","0.0443349753694581","0.0204918411186335","0.0681781096202828","0.00492610837438424","-0.00318381795618564","0.0130360347049541"
"Ninewa","Aqra","0.0188679245283019","-0.0120339859177514","0.0497698349743552","0.471698113207547","0.35831909869537","0.585077127719724","0.490566037735849","0.377025168730831","0.604106906740867","0.0188679245283019","-0.0120339859177514","0.0497698349743552","0","0","0"
"Salah Al-Din","Tikrit","0","0","0","0.4","0.285026265872505","0.514973734127495","0.58","0.464167172475553","0.695832827524447","0.02","-0.0128564812840576","0.0528564812840576","0","0","0"
NA,NA,"0","0","0","0.604651162790698","0.480558732330114","0.728743593251281","0.395348837209302","0.271256406748718","0.519441267669886","0","0","0","0","0","0"
NA,NA,"0.0666666666666667","0.00481182816396313","0.12852150516937","0.733333333333333","0.623676424869902","0.842990241796765","0.2","0.10081159426085","0.29918840573915","0","0","0","0","0","0"
NA,NA,"0","0","0","0.535433070866142","0.462349673900127","0.608516467832156","0.409448818897638","0.337392749701727","0.481504888093549","0.0551181102362205","0.0216772141515384","0.0885590063209025","0","0","0"
