"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Ramadi","0.0957446808510638","0.0602681499586287","0.131221211743499","0.654255319148936","0.596911096995319","0.711599541302553","0.23936170212766","0.187915335578552","0.290808068676768","0.0106382978723404","-0.0017311952091966","0.0230077909538774","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.547619047619048","0.419475465925388","0.675762629312708","0.404761904761905","0.278389978568432","0.531133830955379","0.0476190476190476","-0.00720879199010346","0.102446887228199","0","0","0"
"Al-Anbar","Heet","0.0530973451327434","0.0181626308767215","0.0880320593887652","0.778761061946903","0.714091335821387","0.843430788072418","0.168141592920354","0.109873553067726","0.226409632772982","0","0","0","0","0","0"
"Al-Basrah","Al-Basrah","0.12962962962963","0.0537380642084173","0.205521195050842","0.666666666666667","0.560158461766331","0.773174871567002","0.203703703703704","0.11270690110974","0.294700506297667","0","0","0","0","0","0"
"Al-Najaf","Al-Kufa","0.152542372881356","0.0748877159724143","0.230197029790298","0.610169491525424","0.50483358994886","0.715505393101988","0.203389830508475","0.116453601042912","0.290326059974037","0.0338983050847458","-0.00518701510127179","0.0729836252707633","0","0","0"
"Al-Najaf","Al-Najaf","0.0392156862745098","-0.00593715838690319","0.0843685309359228","0.705882352941176","0.599891360555822","0.81187334532653","0.215686274509804","0.120011286433794","0.311361262585814","0.0392156862745098","-0.0059371583869032","0.0843685309359228","0","0","0"
"Al-Qadissiya","Al-Diwaniya","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.766666666666667","0.67609488014183","0.857238453191503","0.216666666666667","0.128445945077233","0.3048873882561","0","0","0","0","0","0"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.0697674418604651","0.0242780333010669","0.115256850419863","0.616279069767442","0.529446115636324","0.703112023898559","0.22093023255814","0.146849737929131","0.295010727187148","0.0116279069767442","-0.00751461412278966","0.030770428076278","0.0813953488372093","0.0325692262402545","0.130221471434164"
"Al-Sulaymaniyah","Chamchamal","0.15","0.0735361179316083","0.226463882068392","0.466666666666667","0.359834015645341","0.573499317687992","0.316666666666667","0.21705304515306","0.416280288180274","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.05","0.0033288979786166","0.0966711020213834"
"Al-Sulaymaniyah","Derbendikhan","0.0491803278688525","0.00326090503483278","0.0950997507028721","0.655737704918033","0.554844611091068","0.756630798744998","0.245901639344262","0.15445950760717","0.337343771081355","0.0163934426229508","-0.0105713709336307","0.0433582561795324","0.0327868852459016","-0.00502800116951724","0.0706017716613205"
"Al-Sulaymaniyah","Dokan","0.05","0.00332889797861662","0.0966711020213834","0.633333333333333","0.530139644028449","0.736527022638217","0.316666666666667","0.21705304515306","0.416280288180274","0","0","0","0","0","0"
"Al-Sulaymaniyah","Halabcha","0.0163934426229508","-0.0105713709336307","0.0433582561795324","0.540983606557377","0.435166037032394","0.64680117608236","0.327868852459016","0.22818410274642","0.427553602171613","0.0983606557377049","0.0351225625044597","0.16159874897095","0.0163934426229508","-0.0105713709336307","0.0433582561795324"
"Al-Sulaymaniyah","Kalar","0.183333333333333","0.100199495117657","0.26646717154901","0.583333333333333","0.47741101543321","0.689255651233457","0.183333333333333","0.100199495117657","0.26646717154901","0.05","0.0031745990737474","0.0968254009262526","0","0","0"
"Al-Sulaymaniyah","Rania","0.0983606557377049","0.0351225625044597","0.16159874897095","0.573770491803279","0.468757630303009","0.678783353303549","0.19672131147541","0.112308092917036","0.281134530033784","0.131147540983607","0.0594664304848764","0.202828651482337","0","0","0"
"Babil","Al-Mussyab","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.85","0.773536117931608","0.926463882068392","0.116666666666667","0.0479223252981227","0.185411008035211","0","0","0","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Baghdad","Al-Adhamiya","0.204081632653061","0.136771939125512","0.27139132618061","0.612244897959184","0.530871446414101","0.693618349504266","0.142857142857143","0.0844159630533491","0.201298322660937","0.0306122448979592","0.00184238519991764","0.0593821045960007","0.0102040816326531","-0.00658013905052524","0.0269883023158314"
"Baghdad","Al-Kadhmiyah","0.0114942528735632","-0.00743011712195467","0.0304186228690811","0.71264367816092","0.632302526307521","0.792984830014318","0.264367816091954","0.186074243651017","0.342661388532891","0","0","0","0.0114942528735632","-0.00743011712195466","0.0304186228690811"
"Baghdad","Al-Karkh","0.111111111111111","0.0533168457916047","0.168905376430617","0.728395061728395","0.646598586277218","0.810191537179572","0.123456790123457","0.0629608237275491","0.183952756519364","0.037037037037037","0.00230700586416194","0.0717670682099121","0","0","0"
"Baghdad","Al-Mahmoudiya","0.100917431192661","0.0530808492318682","0.148754013153453","0.614678899082569","0.537390767795687","0.691967030369451","0.26605504587156","0.195878053285212","0.336232038457907","0.018348623853211","-0.00296501717430292","0.0396622648807249","0","0","0"
"Diyala","Al-Khalis","0.0104166666666667","-0.00674742282354977","0.0275807561568831","0.635416666666667","0.554047867412891","0.716785465920442","0.302083333333333","0.224459449605198","0.379707217061469","0.0520833333333333","0.0145199531462117","0.0896467135204549","0","0","0"
"Diyala","Baquba","0.033112582781457","0.00898564737498223","0.0572395181879317","0.801324503311258","0.747523045445988","0.855125961176529","0.152317880794702","0.103866112210182","0.200769649379222","0.0132450331125828","-0.00217015623030399","0.0286602224554695","0","0","0"
"Diyala","Khanaqin","0.0495049504950495","0.0138697204701825","0.0851401805199165","0.722772277227723","0.64923638036601","0.796308174089435","0.207920792079208","0.141253381253242","0.274588202905174","0.0099009900990099","-0.00636419267307762","0.0261661728710974","0.0099009900990099","-0.00636419267307763","0.0261661728710974"
"Diyala","Kifri","0.12987012987013","0.0664441570897136","0.193296102650546","0.779220779220779","0.700962585204091","0.857478973237468","0.0779220779220779","0.0273472358803073","0.128496919963849","0.012987012987013","-0.00837472242794119","0.0343487484019672","0","0","0"
"Duhok","Al-Amadiya","0","0","0","0.423076923076923","0.330127637428001","0.516026208725845","0.423076923076923","0.330127637428001","0.516026208725845","0.0897435897435897","0.0359709912229717","0.143516188264208","0.0641025641025641","0.0180207824495792","0.110184345755549"
"Duhok","Duhok","0.02","-0.00314396133913498","0.043143961339135","0.44","0.357940283687401","0.522059716312598","0.41","0.32869306429713","0.49130693570287","0.08","0.035151433451798","0.124848566548202","0.05","0.013970646917678","0.086029353082322"
"Duhok","Sumail","0.00934579439252336","-0.00599575513802027","0.024687343923067","0.448598130841121","0.36930000586991","0.527896255812333","0.457943925233645","0.378505919883877","0.537381930583412","0.0747663551401869","0.032831139104187","0.116701571176187","0.00934579439252336","-0.00599575513802027","0.024687343923067"
"Duhok","Zakho","0.0608695652173913","0.024061880222471","0.0976772502123116","0.504347826086956","0.427376489082519","0.581319163091394","0.304347826086957","0.233511403286742","0.375184248887171","0.0521739130434783","0.0179392167126698","0.0864086093742867","0.0782608695652174","0.0369131280024554","0.119608611127979"
"Erbil","Erbil","0.0891089108910891","0.0421814056823817","0.136036416099796","0.465346534653465","0.383186974218354","0.547506095088576","0.326732673267327","0.249478184224062","0.403987162310592","0.0495049504950495","0.0137749586673469","0.0852349423227521","0.0693069306930693","0.0274733301643809","0.111140531221758"
"Erbil","Koysinjaq","0.0862068965517241","0.025058542378151","0.147355250725297","0.5","0.391066907423349","0.608933092576651","0.379310344827586","0.273598311547346","0.485022378107827","0.0344827586206897","-0.00527032724179243","0.0742358444831717","0","0","0"
"Erbil","Rawanduz","0.0357142857142857","0.0067415424425322","0.0646870289860392","0.651785714285714","0.57740823112438","0.726163197447049","0.1875","0.126563418316656","0.248436581683344","0.0178571428571429","-0.00281850301883653","0.0385327887331222","0.107142857142857","0.0588549516899346","0.15543076259578"
"Erbil","Shaqlawa","0.0277777777777778","0.0016461243709114","0.0539094311846441","0.592592592592593","0.514460773162865","0.670724412022321","0.268518518518518","0.198045291750438","0.338991745286599","0.101851851851852","0.0537575281419143","0.149946175561789","0.00925925925925926","-0.00597086691621739","0.0244893854347359"
"Kerbala","Kerbela","0.116666666666667","0.0479223252981227","0.185411008035211","0.633333333333333","0.530139644028449","0.736527022638217","0.2","0.114343319033732","0.285656680966268","0.0333333333333333","-0.00510627865295796","0.0717729453196246","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Kirkuk","Daquq","0","0","0","0.448598130841122","0.368995296712859","0.528200964969384","0.429906542056075","0.350669958974677","0.509143125137473","0.11214953271028","0.0616445378188993","0.162654527601661","0.00934579439252337","-0.00605470622453084","0.0247462950095776"
"Kirkuk","Dibis","0.246153846153846","0.157779367251408","0.334528325056284","0.584615384615385","0.483517396037832","0.685713373192937","0.138461538461538","0.0676043195070515","0.209318757416025","0.0307692307692308","-0.00465937870801273","0.0661978402464742","0","0","0"
"Kirkuk","Kirkuk","0.117647058823529","0.0720233189321201","0.163270798714939","0.610294117647059","0.541235600425001","0.679352634869117","0.220588235294118","0.1618725913478","0.279303879240436","0.0220588235294118","0.0012605772713396","0.0428570697874839","0.0294117647058824","0.00548647366352057","0.0533370557482441"
"Ninewa","Al-Baaj","0","0","0","0.590909090909091","0.490356788560963","0.691461393257219","0.378787878787879","0.279581461438485","0.477994296137273","0","0","0","0.0303030303030303","-0.00475462110276712","0.0653606817088277"
"Ninewa","Al-Hamdaniya","0.0606060606060606","0.0121259644079609","0.10908615680416","0.454545454545455","0.353375976297814","0.555714932793095","0.424242424242424","0.323825145858168","0.524659702626681","0.0303030303030303","-0.00452609897675687","0.0651321595828175","0.0303030303030303","-0.00452609897675686","0.0651321595828175"
"Ninewa","Al-Hatra","0","0","0","0.694915254237288","0.595093843259768","0.794736665214808","0.288135593220339","0.189950709684615","0.386320476756063","0.0169491525423729","-0.0110348299356437","0.0449331350203894","0","0","0"
"Ninewa","Al-Mosul","0","0","0","0.603448275862069","0.497345295397061","0.709551256327077","0.344827586206897","0.241732862397207","0.447922310016586","0.0344827586206897","-0.00509385716020953","0.0740593744015888","0.0172413793103448","-0.0109922735848212","0.0454750322055108"
"Ninewa","Al-Shikhan","0.0314465408805031","0.00860449721486247","0.0542885845461438","0.421383647798742","0.356755618997501","0.486011676599983","0.415094339622642","0.350602756669819","0.479585922575464","0.0880503144654088","0.0509619558337842","0.125138673097033","0.0440251572327044","0.0171741606808407","0.0708761537845681"
"Ninewa","Aqra","0.0542986425339367","0.0290944483040301","0.0795028367638432","0.506787330316742","0.45118009389551","0.562394566737974","0.366515837104072","0.312921910280473","0.420109763927672","0.0452488687782805","0.0221308677183331","0.0683668698382279","0.0271493212669683","0.00907325574830363","0.045225386785633"
"Ninewa","Sinjar","0","0","0","0.537313432835821","0.43602014943119","0.638606716240452","0.432835820895522","0.332179894815964","0.53349174697508","0.0298507462686567","-0.00472091329982262","0.064422405837136","0","0","0"
"Ninewa","Telafar","0","0","0","0.516129032258065","0.410495826062858","0.62176223845327","0.435483870967742","0.330679173299146","0.540288568636338","0.0161290322580645","-0.0104984290780068","0.0427564935941358","0.032258064516129","-0.00508891369342451","0.0696050427256825"
"Ninewa","Tilkaef","0.0175438596491228","-0.011422730415569","0.0465104497138146","0.596491228070175","0.488246504356701","0.704735951783649","0.350877192982456","0.245579411871815","0.456174974093097","0.0175438596491228","-0.011422730415569","0.0465104497138146","0.0175438596491228","-0.011422730415569","0.0465104497138146"
"Salah Al-Din","Balad","0.169491525423729","0.0881447942192617","0.250838256628196","0.576271186440678","0.469131214327101","0.683411158554255","0.220338983050847","0.130473552758072","0.310204413343623","0.0338983050847458","-0.00533857722218548","0.073135187391677","0","0","0"
"Salah Al-Din","Samarra","0","0","0","0.421052631578947","0.312176387135848","0.529928876022046","0.56140350877193","0.45197876592321","0.67082825162065","0.0175438596491228","-0.0114072060363679","0.0464949253346135","0","0","0"
"Salah Al-Din","Tikrit","0","0","0","0.596491228070175","0.488653901900075","0.704328554240275","0.315789473684211","0.213616910045646","0.417962037322775","0.0350877192982456","-0.0053570234154876","0.0755324620119788","0.0526315789473684","0.00354946699244015","0.101713690902297"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.46031746031746","0.386906441186798","0.533728479448122","0.468253968253968","0.39475923681582","0.541748699692117","0.0396825396825397","0.0109303789623832","0.0684347004026961","0.0317460317460317","0.00592326864142009","0.0575687948506434"
"Thi-Qar","Al-Nasiriya","0.0666666666666667","0.0132503411560039","0.120082992177329","0.716666666666667","0.620170804882116","0.813162528451217","0.183333333333333","0.100473437463916","0.266193229202751","0.0333333333333333","-0.00510627865295797","0.0717729453196246","0","0","0"
"Wassit","Al-Kut","0.0113636363636364","-0.00732788212444855","0.0300551548517213","0.897727272727273","0.844293017724439","0.951161527730107","0.0909090909090909","0.0402129448529948","0.141605236965187","0","0","0","0","0","0"
NA,"Al-Falluja","0","0","0","0.656862745098039","0.578993298688613","0.734732191507466","0.333333333333333","0.256013736902799","0.410652929763867","0.00980392156862745","-0.00635663636964945","0.0259644795069043","0","0","0"
