"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Kaim","0.0138888888888889","-0.008956300374326","0.0367340781521038","0.694444444444444","0.604523278680289","0.7843656102086","0.291666666666667","0.202938742436036","0.380394590897297","0","0","0","0","0","0"
"Al-Anbar","Al-Ramadi","0.0625","0.0216579778680804","0.10334202213192","0.666666666666667","0.587128544655013","0.74620478867832","0.239583333333333","0.167566220836412","0.311600445830254","0.0208333333333333","-0.00326512616495517","0.0449317928316218","0.0104166666666667","-0.00671391694986982","0.0275472502832031"
"Al-Anbar","Al-Rutba","0.0508474576271186","0.00312676932220315","0.0985681459320346","0.644067796610169","0.540062967691505","0.748072625528835","0.288135593220339","0.189756874016167","0.386514312424512","0.0169491525423729","-0.0110900756491805","0.0449883807339265","0","0","0"
"Al-Anbar","Ana","0.028169014084507","-0.00435914095375882","0.0606971691227729","0.746478873239437","0.660953677775389","0.832004068703484","0.211267605633803","0.131014928087496","0.29152028318011","0.0140845070422535","-0.00908244545002077","0.0372514595345278","0","0","0"
"Al-Anbar","Haditha","0.0810810810810811","0.038272653480255","0.123889508681907","0.711711711711712","0.640672772089123","0.7827506513343","0.189189189189189","0.127765084140318","0.25061329423806","0.018018018018018","-0.00284303285759436","0.0388790688936304","0","0","0"
"Al-Anbar","Heet","0.0520833333333333","0.0145250100935823","0.0896416565730843","0.59375","0.510732389609457","0.676767610390543","0.34375","0.263466233038366","0.424033766961633","0.0104166666666667","-0.00674511211836878","0.0275784454517021","0","0","0"
"Baghdad","Al-Kadhmiyah","0.0493827160493827","0.00951706016063001","0.0892483719381354","0.580246913580247","0.489441457731482","0.671052369429012","0.333333333333333","0.246596748657389","0.420069918009278","0.0123456790123457","-0.00797174054617596","0.0326630985708673","0.0246913580246914","-0.00386166522322537","0.0532443812726081"
"Baghdad","Al-Mahmoudiya","0.0704225352112676","0.0200771168580857","0.120767953564449","0.661971830985915","0.568891582515577","0.755052079456254","0.253521126760563","0.167920455276796","0.33912179824433","0","0","0","0.0140845070422535","-0.00910289029500079","0.0372719043795078"
"Diyala","Al-Khalis","0","0","0","0.623853211009174","0.546998152962954","0.700708269055395","0.348623853211009","0.273019458137432","0.424228248284586","0.0275229357798165","0.00156682433393905","0.053479047225694","0","0","0"
"Diyala","Al-Muqdadiya","0","0","0","0.619047619047619","0.531370638395569","0.706724599699669","0.357142857142857","0.270632833279661","0.443652881006053","0.0238095238095238","-0.00371569934276532","0.0513347469618129","0","0","0"
"Diyala","Khanaqin","0.029126213592233","0.00177064168243081","0.0564817855020352","0.815533980582524","0.752438011509962","0.878629949655087","0.116504854368932","0.0643137495250509","0.168695959212813","0.0388349514563107","0.00740579214276381","0.0702641107698575","0","0","0"
"Kirkuk","Al-Hawiga","0.0421052631578947","0.00803382884632952","0.0761766974694599","0.652631578947368","0.571853682508014","0.733409475386722","0.284210526315789","0.207690332188399","0.36073072044318","0.0210526315789474","-0.0033028205886456","0.0454080837465403","0","0","0"
"Kirkuk","Daquq","0","0","0","0.68141592920354","0.6088493718481","0.75398248655898","0.300884955752212","0.2294529390809","0.372316972423524","0.00884955752212389","-0.00573686933095489","0.0234359843752027","0.00884955752212389","-0.00573686933095492","0.0234359843752027"
"Kirkuk","Dibis","0.321243523316062","0.265648694323693","0.376838352308431","0.569948186528497","0.511004364230502","0.628892008826492","0.0829015544041451","0.0500731684524929","0.115729940355797","0.0207253886010363","0.00376390628653538","0.0376868709155371","0.00518134715025907","-0.00336643648234846","0.0137291307828666"
"Kirkuk","Kirkuk","0.134615384615385","0.079346093492168","0.189884675738601","0.778846153846154","0.711640617826237","0.846051689866071","0.0673076923076923","0.0267350297473414","0.107880354868043","0.00961538461538462","-0.00618680374396944","0.0254175729747387","0.00961538461538462","-0.00618680374396945","0.0254175729747387"
"Ninewa","Al-Baaj","0","0","0","0.350649350649351","0.260300104493047","0.440998596805654","0.545454545454546","0.451175252597913","0.639733838311178","0.025974025974026","-0.0041423894114085","0.0560904413594604","0.0779220779220779","0.0271689925883052","0.128675163255851"
"Ninewa","Al-Hamdaniya","0","0","0","0.777777777777778","0.696903801556375","0.858651753999181","0.208333333333333","0.129331376520357","0.28733529014631","0","0","0","0.0138888888888889","-0.00887696611705934","0.0366547438948371"
"Ninewa","Al-Hatra","0","0","0","0.482758620689655","0.373496105511897","0.592021135867413","0.448275862068966","0.339534889320973","0.557016834816958","0.0344827586206897","-0.00541427088104951","0.0743797881224288","0.0344827586206897","-0.00541427088104949","0.0743797881224288"
"Ninewa","Al-Mosul","0","0","0","0.688524590163934","0.590580479573103","0.786468700754765","0.278688524590164","0.183862470264819","0.373514578915509","0.0163934426229508","-0.010463248621853","0.0432501338677546","0.0163934426229508","-0.0104632486218529","0.0432501338677546"
"Ninewa","Al-Shikhan","0.015625","-0.00996001023580615","0.0412100102358061","0.390625","0.2899741079809","0.491275892019099","0.4375","0.335159959056775","0.539840040943224","0.09375","0.0336180978194438","0.153881902180556","0.0625","0.0125631732889756","0.112436826711024"
"Ninewa","Sinjar","0","0","0","0.615384615384615","0.515040774470286","0.715728456298945","0.338461538461538","0.240864578758224","0.436058498164853","0","0","0","0.0461538461538462","0.00287783811063731","0.089429854197055"
"Ninewa","Telafar","0","0","0","0.616666666666667","0.512196981968222","0.721136351365111","0.333333333333333","0.232042417608114","0.434624249058552","0.0166666666666667","-0.0108408579152262","0.0441741912485595","0.0333333333333333","-0.00523709825908927","0.0719037649257559"
"Ninewa","Tilkaef","0.0350877192982456","-0.00550981919974121","0.0756852577962324","0.596491228070175","0.488246504356701","0.704735951783649","0.315789473684211","0.21323091335132","0.418348034017101","0.0526315789473684","0.00336404017832847","0.101899117716408","0","0","0"
"Salah Al-Din","Al-Daur","0.112903225806452","0.0462530937026028","0.1795533579103","0.741935483870968","0.649782467127246","0.834088500614689","0.129032258064516","0.0584309864655241","0.199633529663508","0.0161290322580645","-0.0104008649508302","0.0426589294669592","0","0","0"
"Salah Al-Din","Al-Shirqat","0.00892857142857143","-0.00575762166920953","0.0236147645263524","0.473214285714286","0.395265081584577","0.551163489843994","0.4375","0.360050956338889","0.514949043661111","0.0535714285714286","0.0184173027693822","0.0887255543734749","0.0267857142857143","0.0015786876056241","0.0519927409658044"
"Salah Al-Din","Balad","0.0175438596491228","-0.0114163574760242","0.0465040767742698","0.631578947368421","0.525172315173189","0.737985579563653","0.350877192982456","0.245602578436873","0.45615180752804","0","0","0","0","0","0"
"Salah Al-Din","Beygee","0","0","0","0.296","0.22857070805351","0.36342929194649","0.52","0.446203000424759","0.593796999575241","0.112","0.0654165222275632","0.158583477772437","0.072","0.033818177835769","0.110181822164231"
"Salah Al-Din","Samarra","0","0","0","0.709677419354839","0.613702472292556","0.805652366417122","0.258064516129032","0.165544820019494","0.350584212238571","0.0161290322580645","-0.010506428135059","0.042764492651188","0.0161290322580645","-0.010506428135059","0.042764492651188"
"Salah Al-Din","Tikrit","0","0","0","0.672727272727273","0.567731673060849","0.777722872393696","0.254545454545455","0.157071198339108","0.352019710751801","0.0545454545454545","0.00372994521880193","0.105360963872107","0.0181818181818182","-0.0117154057008462","0.0480790420644825"
"Salah Al-Din","Tooz Khurmato","0.012987012987013","-0.00209656344515096","0.0280705894191769","0.474025974025974","0.407503027704776","0.540548920347172","0.5","0.433387112185881","0.566612887814119","0.00649350649350649","-0.00420721970720907","0.017194232694222","0.00649350649350649","-0.00420721970720906","0.017194232694222"
NA,"Al-Falluja","0.0891089108910891","0.0421488091616676","0.136069012620511","0.722772277227723","0.648989617549671","0.796554936905775","0.188118811881188","0.123702243189606","0.25253538057277","0","0","0","0","0","0"
