"governorate","district","lsg_all","msni_score_4","lsg_food","lsg_wash","lsg_health","lsg_snfi","lsg_education","lsg_livelihoods","lsg_protection","cg_no_lsg","cg_and_one_lsg"
"","","LSG","LSG","LSG","LSG","LSG","LSG","LSG","LSG","LSG","Capacity Gap","Capacity Gap"
"","","% of households with multi-sectoral needs","% of households per Multi-Sectoral Needs Index (MSNI) severity score","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","Among households with multi-sectoral needs, % of households with sectoral LSG(s)","% of households with a Capacity Gap AND no LSG","% of households with a Capacity Gap AND at least one LSG"
"","","% of households with multi-sectoral needs","Extreme","Food Security","WASH","Health","SNFI","Education","Livelihoods","Protection","% of households with a Capacity Gap AND no LSG","% of households with a Capacity Gap AND at least one LSG"
"","","categorical","categorical","categorical","categorical","categorical","categorical","categorical","categorical","categorical","categorical","categorical"
"Al-Anbar","Al-Falluja","0.807082679852899","0.662815859225845","0.00138677140965219","0.0140113593919224","0.0892566418697564","0.306177699463625","0.127667598150305","0.666240363098087","0.473657089685254","0.0190405755297358","0.666773869841068"
"Al-Anbar","Al-Kaim","0.875","0.569444444444444","0","0.0277777777777778","0.0555555555555556","0.305555555555556","0.0909090909090909","0.597222222222222","0.474576271186441","0.0138888888888889","0.541666666666667"
"Al-Anbar","Al-Ramadi","0.792220485507877","0.667190277207447","0","0.0525792529320532","0.0944976554356334","0.406771093182411","0.0499255315802141","0.636355641338354","0.357393291375993","0.0104191840250358","0.636113974934917"
"Al-Anbar","Al-Rutba","0.934243284477066","0.630323650633411","0.118684865689541","0.169999127114849","0.0328783577614671","0.223747979081118","0.0489991343793684","0.672830311126629","0.556162268093087","0.0304712820785293","0.548538107129574"
"Al-Anbar","Ana","0.887323943661972","0.661971830985915","0.0985915492957747","0.154929577464789","0.183098591549296","0.0845070422535211","0.0851063829787234","0.690140845070423","0.637931034482759","0","0.563380281690141"
"Al-Anbar","Haditha","0.747747747747748","0.567567567567568","0","0.027027027027027","0.0810810810810811","0.306306306306306","0.0169491525423729","0.576576576576577","0.455555555555556","0.018018018018018","0.576576576576577"
"Al-Anbar","Heet","0.791982579519892","0.739960834701523","0","0.000139117586741614","0.21744794633659","0.425604484403439","0.0127644594736492","0.760491297455387","0.481839267024095","0.0206695803406062","0.729417368151107"
"Al-Basrah","Al-Basrah","0.703703703703704","0.518518518518519","0","0","0.0555555555555556","0.0185185185185185","0.0714285714285714","0.537037037037037","0.472222222222222","0.0555555555555556","0.592592592592593"
"Al-Najaf","Al-Kufa","0.745762711864407","0.644067796610169","0","0.0847457627118644","0.101694915254237","0.11864406779661","0.107142857142857","0.627118644067797","0.361111111111111","0.0847457627118644","0.661016949152542"
"Al-Najaf","Al-Najaf","0.901960784313726","0.843137254901961","0.0980392156862745","0.0784313725490196","0.0196078431372549","0.470588235294118","0.103448275862069","0.686274509803922","0.581395348837209","0.0392156862745098","0.725490196078431"
"Al-Qadissiya","Al-Diwaniya","0.9","0.5","0.0166666666666667","0.133333333333333","0.133333333333333","0.0333333333333333","0.0769230769230769","0.533333333333333","0.829787234042553","0","0.433333333333333"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.879755143870713","0.758104638023913","0.098723955265985","0.0787575877020102","0.130629069381004","0.226847483904875","0.324189069781273","0.677481542967995","0.185025434602979","0.0393787938510051","0.683787324847164"
"Al-Sulaymaniyah","Chamchamal","0.8","0.55","0.0833333333333333","0.0666666666666667","0.166666666666667","0.05","0.395348837209302","0.6","0.169811320754717","0.05","0.65"
"Al-Sulaymaniyah","Derbendikhan","0.819672131147541","0.655737704918033","0.0327868852459016","0","0.163934426229508","0.0163934426229508","0.217391304347826","0.655737704918033","0.0576923076923077","0.0819672131147541","0.786885245901639"
"Al-Sulaymaniyah","Dokan","0.9","0.766666666666667","0.0333333333333333","0","0.1","0.05","0.325","0.816666666666667","0.153846153846154","0.0166666666666667","0.816666666666667"
"Al-Sulaymaniyah","Halabcha","0.852459016393443","0.655737704918033","0.0327868852459016","0","0.131147540983607","0.0327868852459016","0.313725490196078","0.655737704918033","0.140350877192982","0","0.688524590163934"
"Al-Sulaymaniyah","Kalar","0.879511180447218","0.668655746229849","0.0122328702671916","0","0.171788562018671","0.12645605824233","0.285957436280643","0.659021122749672","0.149722764797333","0.0903666146645866","0.654433796399475"
"Al-Sulaymaniyah","Rania","0.819672131147541","0.721311475409836","0.0327868852459016","0","0.19672131147541","0.0327868852459016","0.461538461538462","0.737704918032787","0.1","0.0655737704918033","0.770491803278689"
"Babil","Al-Mussyab","0.766666666666667","0.616666666666667","0.0333333333333333","0","0.0333333333333333","0.366666666666667","0.0769230769230769","0.6","0.568181818181818","0.0833333333333333","0.616666666666667"
"Baghdad","Al-Adhamiya","0.795918367346939","0.622448979591837","0.102040816326531","0.0102040816326531","0.0408163265306122","0.23469387755102","0.1875","0.571428571428571","0.5875","0.0306122448979592","0.622448979591837"
"Baghdad","Al-Kadhmiyah","0.95171400806729","0.684639903985652","0.0430577745441084","0.14541605488513","0.203513546936668","0.170907622851864","0.174600654472288","0.708017361994932","0.541691058563697","0.00622210243843196","0.632530430720697"
"Baghdad","Al-Karkh","0.888888888888889","0.814814814814815","0.0493827160493827","0.0740740740740741","0.0617283950617284","0.246913580246914","0.16","0.839506172839506","0.318181818181818","0.0246913580246914","0.839506172839506"
"Baghdad","Al-Mahmoudiya","0.883941340356426","0.473331791403607","0.0517094349127192","0.209374437213874","0.283682417985521","0.0798624966121307","0.167703396705035","0.534951870285669","0.766041226196866","0.00181943056586196","0.460643889514022"
"Baghdad","Al-Risafa","1","1","0.0222222222222222","0","0.111111111111111","1","0.2","0.688888888888889","0.310344827586207","0","0.733333333333333"
"Diyala","Al-Khalis","0.913624131671807","0.570096111068299","0.0847612004380253","0.0179387846028016","0.451249447125799","0.169522400876051","0.122350073233399","0.705444329534394","0.0700278604344964","0.00870028098637291","0.558704716931647"
"Diyala","Al-Muqdadiya","0.916666666666667","0.726190476190476","0.0238095238095238","0.0119047619047619","0.285714285714286","0.202380952380952","0.1","0.845238095238095","0.0675675675675676","0","0.69047619047619"
"Diyala","Baquba","0.781789813113276","0.659848826323636","0.0852527073726061","0.0588944750721388","0.100147937542619","0.165666932491939","0.101493803473233","0.678896093139011","0.0706109889868423","0.0128358933462779","0.564059498630422"
"Diyala","Khanaqin","0.835856502263983","0.588034238600232","0.130380005521566","0.0215716776503808","0.243610232274935","0.165513966294061","0.0978315453495615","0.703552343667601","0.0601186343153637","0.00922302789102768","0.452009784853605"
"Diyala","Kifri","0.831168831168831","0.636363636363636","0.0649350649350649","0.012987012987013","0.103896103896104","0.246753246753247","0.260869565217391","0.727272727272727","0.087719298245614","0.012987012987013","0.597402597402597"
"Duhok","Al-Amadiya","0.971289752650177","0.91386925795053","0.0373371245583039","0.0947576192579505","0.201137367491166","0.666961130742049","0.244354120025214","0.732704836572438","0.472620565579641","0.00574204946996466","0.724105565371025"
"Duhok","Duhok","0.95","0.82","0.09","0.1","0.2","0.23","0.310810810810811","0.87","0.512820512820513","0.02","0.83"
"Duhok","Sumail","0.995681371480216","0.939539200723031","0.0651557743228986","0.247206021807564","0.269299280977812","0.732245031773422","0.233730107100013","0.837140628354838","0.531258395433528","0","0.830850389715396"
"Duhok","Zakho","0.974599542334096","0.894164759725401","0.057928289930016","0.130720882060503","0.242241862759903","0.597826086956522","0.238144490849368","0.799030336163037","0.445971379939803","0.00423340961098398","0.797162397017338"
"Erbil","Erbil","0.923327121039145","0.845792433424193","0.142953702438388","0.0385907541011596","0.0694524190196816","0.128007590942916","0.364853973574809","0.894922805534337","0.336640180579637","0.00996115115627426","0.839930737625606"
"Erbil","Koysinjaq","0.810344827586207","0.689655172413793","0.0344827586206897","0","0.120689655172414","0.0172413793103448","0.5","0.689655172413793","0.127659574468085","0.0517241379310345","0.724137931034483"
"Erbil","Makhmour","0.985294117647059","0.691176470588235","0","0.602941176470588","0.102941176470588","0.102941176470588","0.14","0.661764705882353","0.918032786885246","0","0.794117647058824"
"Erbil","Rawanduz","0.9375","0.875","0.0625","0.0535714285714286","0.0803571428571428","0.0892857142857143","0.389830508474576","0.892857142857143","0.547619047619048","0","0.848214285714286"
"Erbil","Shaqlawa","0.972222222222222","0.87037037037037","0.111111111111111","0.0555555555555556","0.259259259259259","0.0740740740740741","0.405797101449275","0.87037037037037","0.438202247191011","0","0.833333333333333"
"Kerbala","Al-Hindiya","1","1","0","0.372093023255814","0.232558139534884","1","0.037037037037037","0.534883720930233","0.648648648648649","0","0.651162790697674"
"Kerbala","Kerbela","0.9","0.733333333333333","0.116666666666667","0.0333333333333333","0.25","0.3","0.128205128205128","0.75","0.130434782608696","0.0166666666666667","0.616666666666667"
"Kirkuk","Al-Hawiga","0.905263157894737","0.694736842105263","0","0.157894736842105","0.305263157894737","0.0631578947368421","0.109375","0.810526315789474","0.518987341772152","0","0.789473684210526"
"Kirkuk","Daquq","0.7888904024654","0.605661154545351","0","0.0619920396686781","0.354894095592087","0.210740798400798","0.282423585267147","0.597212424517129","0.188341553445824","0","0.520488285188086"
"Kirkuk","Dibis","0.623193107130931","0.362430539632612","0","0","0.055142952552279","0.0396346126916075","0.192348478585477","0.486497258517984","0.245675508509305","0.0160841818872907","0.331989701937888"
"Kirkuk","Kirkuk","0.604777935078154","0.432642353115718","0.00235707110956152","0.0546862931121037","0.0293201520881204","0.0917023146782324","0.184024815735399","0.541080264479552","0.200399650590529","0.0231097055183697","0.407149067081764"
"Ninewa","Al-Baaj","1","0.967336337132255","0.0133368672144182","0.934672674264511","0.228910681155579","0.283350119268487","0.299932705248991","0.755038430956798","0.863541917783058","0","0.646159554730983"
"Ninewa","Al-Hamdaniya","0.919765626586234","0.514319059769093","0.0203517090673232","0.184264954041435","0.206365375500571","0.177568861807143","0.187570195486238","0.480114393519223","0.891283766751937","0","0.447214850091833"
"Ninewa","Al-Hatra","0.982306696896625","0.944620829286736","0.0335471970842404","0.830183669615187","0.120634155759235","0.155560909685358","0.176417305763018","0.675783400332185","0.925852647187827","0","0.624083047863941"
"Ninewa","Al-Mosul","0.96691990093031","0.666688153001227","0.0183854686673496","0.257846838720874","0.0474579826944191","0.0945372213794301","0.0741321871865545","0.639132374567856","0.906751632357904","0.0158122104213255","0.598153595728171"
"Ninewa","Al-Shikhan","0.984784134955174","0.915505816108108","0.0821249261959987","0.0453104780569501","0.210838424250552","0.66152182888451","0.333306244117477","0.86828031502135","0.489080201798227","0.0073572147484513","0.855280313893517"
"Ninewa","Aqra","0.961028600384019","0.826793779484527","0.0752366298191519","0","0.149120886062872","0.120978430883976","0.4084306491758","0.893910478803299","0.527584086451866","0","0.851150726461772"
"Ninewa","Sinjar","0.984735670390515","0.720959958180073","0.0230829049929575","0.43838344982587","0.304540949874781","0.164371159170059","0.0919336962174031","0.538906466338632","0.931545920675827","0","0.462584818291207"
"Ninewa","Telafar","0.966291572471654","0.586481445327193","0","0.253416036418869","0.216090629152897","0.104340375685151","0.141374712463487","0.604340375685152","0.9109533564695","0","0.487365595929724"
"Ninewa","Tilkaef","0.957751974072153","0.546960231849103","0.0350877192982456","0.223296637685529","0.140350877192982","0.134740861926529","0.164729537636437","0.620358916835514","0.908600434483814","0.015157090772589","0.524642834446913"
"Salah Al-Din","Al-Daur","0.741935483870968","0.483870967741935","0.032258064516129","0.032258064516129","0.241935483870968","0.129032258064516","0.05","0.564516129032258","0.0444444444444444","0.032258064516129","0.451612903225806"
"Salah Al-Din","Al-Shirqat","0.991071428571428","0.883928571428571","0.116071428571429","0.267857142857143","0.160714285714286","0.348214285714286","0.148148148148148","0.892857142857143","0.645833333333333","0","0.857142857142857"
"Salah Al-Din","Balad","0.906367954280807","0.669243322675795","0.0936320457191931","0.055560829989325","0.179534123411001","0.241762612421443","0.0108736453481877","0.648661721205384","0.436457623891203","0.0159436206539798","0.639385759572521"
"Salah Al-Din","Beygee","0.992","0.872","0.144","0.28","0.096","0.392","0.182926829268293","0.904","0.596153846153846","0","0.888"
"Salah Al-Din","Samarra","0.802537714709913","0.54750123450087","0.10300619905913","0.0164627790904348","0.0658511163617391","0.308563278201739","0.0387740101417933","0.522852597762783","0.518593002278215","0.0370640189022609","0.522852597762783"
"Salah Al-Din","Tikrit","0.836452382273005","0.659270123280913","0.00388432184793894","0.0344320125567677","0.125031966043013","0.202084818513642","0.0760307431724104","0.674750999607844","0.398718683589308","0.0490642853180986","0.654833635478123"
"Salah Al-Din","Tooz Khurmato","0.891987484817986","0.784850458286016","0.0949384915402321","0.249142003182617","0.0670744506219019","0.338839224044363","0.0637883162017542","0.777893193972763","0.41020492135161","0","0.7230172783426"
"Thi-Qar","Al-Nasiriya","0.716666666666667","0.6","0.0833333333333333","0.0833333333333333","0.0666666666666667","0.15","0.0434782608695652","0.583333333333333","0.339622641509434","0.05","0.566666666666667"
"Wassit","Al-Kut","0.795454545454546","0.261363636363636","0","0","0","0.0681818181818182","0.12280701754386","0.215909090909091","0.784810126582278","0","0.284090909090909"
