"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Ramadi","0","0","0","0.450241142320395","0.324955951882648","0.575526332758142","0.522617662581638","0.413950743664661","0.631284581498616","0.0271411950979662","-0.0031725974142536","0.0574549876101859","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.214285714285714","0.108729738658167","0.319841689913262","0.738095238095238","0.624990242018799","0.851200234171677","0.0476190476190476","-0.00716442943160925","0.102402524669704","0","0","0"
"Al-Anbar","Heet","0","0","0","0.433333333333333","0.065143318133434","0.801523348533232","0.566666666666667","0.198476651466767","0.934856681866566","0","0","0","0","0","0"
"Al-Basrah","Al-Basrah","0","0","0","0.611111111111111","0.500966772491654","0.721255449730568","0.388888888888889","0.278744550269431","0.499033227508346","0","0","0","0","0","0"
"Al-Najaf","Al-Kufa","0","0","0","0.576271186440678","0.469545068855122","0.682997304026234","0.389830508474576","0.284494606898012","0.49516641005114","0.0338983050847458","-0.00518701510127181","0.0729836252707633","0","0","0"
"Al-Najaf","Al-Najaf","0","0","0","0.509803921568627","0.393517566811638","0.626090276325617","0.450980392156863","0.335231987955081","0.566728796358645","0.0392156862745098","-0.00593715838690321","0.0843685309359228","0","0","0"
"Al-Qadissiya","Al-Diwaniya","0","0","0","0.5","0.392929148792165","0.607070851207835","0.466666666666667","0.359834015645341","0.573499317687992","0.0333333333333333","-0.005106278652958","0.0717729453196246","0","0","0"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0","0","0","0.569767441860465","0.481435405054452","0.658099478666478","0.337209302325581","0.25286499625743","0.421553608393732","0.0116279069767442","-0.00749829798780781","0.0307541119412962","0.0813953488372093","0.0326108432040175","0.130179854470401"
"Al-Sulaymaniyah","Chamchamal","0","0","0","0.533333333333333","0.426500682312008","0.640165984354659","0.4","0.295092419286137","0.504907580713862","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.05","0.00332889797861659","0.0966711020213834"
"Al-Sulaymaniyah","Derbendikhan","0","0","0","0.475409836065574","0.36936347152856","0.581456200602588","0.475409836065574","0.36936347152856","0.581456200602588","0.0163934426229508","-0.0105713709336307","0.0433582561795323","0.0327868852459016","-0.00502800116951722","0.0706017716613205"
"Al-Sulaymaniyah","Dokan","0","0","0","0.45","0.343465848167892","0.556534151832108","0.55","0.443465848167892","0.656534151832108","0","0","0","0","0","0"
"Al-Sulaymaniyah","Halabcha","0","0","0","0.377049180327869","0.274134456510573","0.479963904145164","0.508196721311475","0.402036144178584","0.614357298444367","0.0983606557377049","0.0351225625044597","0.16159874897095","0.0163934426229508","-0.0105713709336307","0.0433582561795323"
"Al-Sulaymaniyah","Kalar","0","0","0","0.65","0.547860917703765","0.752139082296235","0.3","0.201867943923348","0.398132056076652","0.05","0.0033288979786166","0.0966711020213834","0","0","0"
"Al-Sulaymaniyah","Rania","0","0","0","0.59375","0.491971632556258","0.695528367443742","0.28125","0.188076550052396","0.374423449947604","0.125","0.0564644322103553","0.193535567789645","0","0","0"
"Babil","Al-Mussyab","0","0","0","0.666666666666667","0.565719300058032","0.767614033275301","0.316666666666667","0.21705304515306","0.416280288180274","0","0","0","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Baghdad","Al-Adhamiya","0","0","0","0.694214876033058","0.625033090203657","0.763396661862459","0.272727272727273","0.20585446321999","0.339600082234556","0.0247933884297521","0.0014452158663478","0.0481415609931563","0.00826446280991736","-0.00532936881778079","0.0218582944376155"
"Baghdad","Al-Kadhmiyah","0","0","0","0.446280991735537","0.371494874023654","0.521067109447421","0.528925619834711","0.453830083682213","0.604021155987208","0.0165289256198347","-0.00265224842527363","0.035710099664943","0.00826446280991736","-0.00535554418206129","0.021884469801896"
"Baghdad","Al-Karkh","0.00884955752212389","-0.00570666926505726","0.023405784309305","0.610619469026549","0.5348331723585","0.686405765694597","0.345132743362832","0.271242352249442","0.419023134476222","0.0265486725663717","0.00156267047942612","0.0515346746533172","0.00884955752212389","-0.00570666926505727","0.023405784309305"
"Baghdad","Al-Mahmoudiya","0","0","0","0.471544715447155","0.397071271418459","0.54601815947585","0.495934959349594","0.421343084113252","0.570526834585935","0.024390243902439","0.00137677885775403","0.047403708947124","0.00813008130081301","-0.0052670149797537","0.0215271775813797"
"Diyala","Al-Khalis","0","0","0","0.327102803738318","0.103724501453534","0.550481106023101","0.607476635514019","0.413570348058878","0.801382922969159","0.0654205607476635","0.00429603324486438","0.126545088250463","0","0","0"
"Diyala","Baquba","0","0","0","0.465408805031447","0.345782567171918","0.585035042890975","0.515723270440252","0.397390569327174","0.634055971553329","0.0188679245283019","0.00154996160208355","0.0361858874545202","0","0","0"
"Diyala","Khanaqin","0","0","0","0.445954968250976","0.340998668961587","0.550911267540366","0.535263844232108","0.441626369617","0.628901318847216","0.00939059375845803","-0.00291495425380833","0.0216961417707244","0.00939059375845803","-0.00291495425380834","0.0216961417707244"
"Diyala","Kifri","0","0","0","0.75609756097561","0.677613451019051","0.834581670932168","0.219512195121951","0.143864250167371","0.295160140076532","0.024390243902439","-0.00380208064366168","0.0525825684485397","0","0","0"
"Duhok","Al-Amadiya","0","0","0","0.2","0.097037321682799","0.302962678317201","0.642857142857143","0.536099546868935","0.74961473884535","0.114285714285714","0.0538518641177936","0.174719564453635","0.0428571428571429","0.00679198502422392","0.0789223006900618"
"Duhok","Duhok","0","0","0","0.36","0.28785108728692","0.43214891271308","0.49","0.428379244512537","0.551620755487463","0.1","0.0653342789267643","0.134665721073236","0.05","0.0129831791137857","0.0870168208862143"
"Duhok","Sumail","0","0","0","0.214953271028037","0.160468278864236","0.269438263191838","0.654205607476636","0.586890863085642","0.72152035186763","0.121495327102804","0.0765987104557728","0.166391943749835","0.00934579439252337","-0.00196626134180708","0.0206578501268538"
"Duhok","Zakho","0","0","0","0.373913043478261","0.240720426535879","0.507105660420643","0.478260869565217","0.424593929179133","0.531927809951302","0.0695652173913043","0.010678424770864","0.128452010011745","0.0782608695652174","0.0214773760453034","0.135044363085131"
"Erbil","Erbil","0.00952352877079412","-0.00650338896109012","0.0255504465026783","0.396833351494167","0.271886787277507","0.521779915710826","0.47936077448551","0.382681595286805","0.576039953684215","0.0476176438539706","0.0209148446988055","0.0743204430091357","0.0666647013955588","-0.023828155075103","0.157157557866221"
"Erbil","Koysinjaq","0","0","0","0.466666666666667","0.359834015645341","0.573499317687992","0.5","0.392929148792165","0.607070851207835","0.0333333333333333","-0.00510627865295797","0.0717729453196246","0","0","0"
"Erbil","Rawanduz","0","0","0","0.424242424242424","0.297825414475516","0.550659434009333","0.444444444444444","0.27879063182883","0.610098257060058","0.0101010101010101","0.00385575194768245","0.0163462682543377","0.121212121212121","0.0814484125733903","0.160975829850852"
"Erbil","Shaqlawa","0","0","0","0.37037037037037","0.222270692296976","0.518470048443765","0.5","0.37965549800219","0.620344501997811","0.12037037037037","0.0549530035305845","0.185787737210156","0.00925925925925926","-0.00532401058851535","0.0238425291070339"
"Kerbala","Kerbela","0","0","0","0.533333333333333","0.426500682312008","0.640165984354659","0.4","0.295092419286137","0.504907580713862","0.05","0.0033288979786166","0.0966711020213834","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Kirkuk","Daquq","0","0","0","0.215384615384615","0.113992366216236","0.316776864552995","0.615384615384615","0.476335403968782","0.754433826800448","0.161538461538462","0.00909567068863984","0.313981252388283","0.00769230769230769","-0.00585146908618439","0.0212360844707998"
"Kirkuk","Dibis","0","0","0","0.739583333333333","0.614008908687823","0.865157757978844","0.21875","0.0971331932978498","0.34036680670215","0.0416666666666667","0.00489567277977426","0.0784376605535591","0","0","0"
"Kirkuk","Kirkuk","0","0","0","0.52","0.438210500150221","0.601789499849779","0.422857142857143","0.331765762045981","0.513948523668305","0.0342857142857143","0.00660407990861991","0.0619673486628087","0.0228571428571429","-0.00184390296329394","0.0475581886775796"
"Ninewa","Al-Baaj","0","0","0","0.150684931506849","0.0811727211037781","0.22019714190992","0.753424657534246","0.66967433104852","0.837174984019973","0.0684931506849315","0.0194127194449209","0.117573581924942","0.0273972602739726","-0.00432127205985799","0.0591157926078032"
"Ninewa","Al-Hamdaniya","0","0","0","0.328767123287671","0.237428932138445","0.420105314436897","0.602739726027397","0.507597330296898","0.697882121757896","0.0410958904109589","0.00249845997647133","0.0796933208454464","0.0273972602739726","-0.00434171624001196","0.0591362367879571"
"Ninewa","Al-Mosul","0","0","0","0.172413793103448","0.0898363458890664","0.25499124031783","0.724137931034483","0.626430977833487","0.821844884235479","0.0862068965517241","0.024849945387898","0.14756384771555","0.0172413793103448","-0.0112149096453101","0.0456976682659997"
"Ninewa","Al-Shikhan","0","0","0","0.287444127713745","0.213635825512557","0.361252429914934","0.560034498397329","0.49049603589366","0.629572960900998","0.111457927072677","0.0637424548693038","0.15917339927605","0.0410634468162493","0.0266702146256046","0.055456679006894"
"Ninewa","Aqra","0","0","0","0.385650224215247","0.340026832573026","0.431273615857467","0.533632286995516","0.474154775703667","0.593109798287364","0.0538116591928251","0.0335970994477384","0.0740262189379118","0.0269058295964126","0.0232644258003693","0.0305472333924558"
"Ninewa","Sinjar","0","0","0","0.140625","0.0683472791187648","0.212902720881235","0.703125","0.608133464597232","0.798116535402768","0.15625","0.0807583826270463","0.231741617372954","0","0","0"
"Ninewa","Telafar","0","0","0","0.209677419354839","0.123630651560509","0.295724187149168","0.693548387096774","0.596099726665095","0.790997047528453","0.0645161290322581","0.0125872631609779","0.116444994903538","0.032258064516129","-0.00508891369342451","0.0696050427256825"
"Salah Al-Din","Balad","0","0","0","0.593220338983051","0.486735097467053","0.699705580499048","0.372881355932203","0.268057053827691","0.477705658036715","0.0338983050847458","-0.00533024014825716","0.0731268503177487","0","0","0"
"Salah Al-Din","Samarra","0","0","0","0.12280701754386","0.0504367213609887","0.195177313726731","0.754385964912281","0.65947321127134","0.849298718553221","0.12280701754386","0.0504367213609887","0.195177313726731","0","0","0"
"Salah Al-Din","Tikrit","0","0","0","0.25","0.156920764943087","0.343079235056913","0.583333333333333","0.477357962337626","0.689308704329041","0.116666666666667","0.0476605045848975","0.185672828748436","0.05","0.00315114573057726","0.0968488542694227"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.159044594093148","0.0831884001719631","0.234900788014332","0.72659769212443","0.643859512517553","0.809335871731306","0.0804739467357788","0.0358537359758482","0.125094157495709","0.0338837670466437","0.00117007298310877","0.0665974611101786"
"Thi-Qar","Al-Nasiriya","0","0","0","0.45","0.343465848167892","0.556534151832108","0.466666666666667","0.359834015645341","0.573499317687992","0.0833333333333333","0.0241476934266066","0.14251897324006","0","0","0"
"Wassit","Al-Kut","0","0","0","0.736215110001351","0.6512014103008","0.821228809701903","0.255791408483538","0.167219187250336","0.344363629716741","0.00799348151511057","-0.00438908774327712","0.0203760507734982","0","0","0"
NA,"Al-Falluja","0","0","0","0.216825555156458","0.107258358334617","0.326392751978298","0.699887843418971","0.6072814155767","0.792494271261242","0.0832866014245713","0.0418025740619633","0.124770628787179","0","0","0"
