"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Kaim","0","0","0","0.554054054054054","0.458360429326697","0.649747678781411","0.445945945945946","0.350252321218589","0.541639570673303","0","0","0","0","0","0"
"Al-Anbar","Al-Ramadi","0","0","0","0.8","0.471029274609706","1.12897072539029","0.2","-0.128970725390295","0.528970725390294","0","0","0","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.495327102803738","0.41544943776933","0.575204767838147","0.476635514018692","0.396841622122207","0.556429405915176","0.0280373831775701","0.00166387861733798","0.0544108877378022","0","0","0"
"Al-Anbar","Ana","0.0106382978723404","-0.00686014496756885","0.0281367407122497","0.48936170212766","0.404099319744223","0.574624084511096","0.478723404255319","0.393518964374249","0.56392784413639","0.0212765957446809","-0.00333653396573195","0.0458897254550936","0","0","0"
"Al-Najaf","Al-Kufa","0","0","0","0.542372881355932","0.434771432387439","0.649974330324425","0.406779661016949","0.300683201537828","0.51287612049607","0.0508474576271186","0.00339967851364521","0.0982952367405921","0","0","0"
"Al-Najaf","Al-Najaf","0","0","0","0.450980392156863","0.335231987955081","0.566728796358645","0.509803921568627","0.393517566811638","0.626090276325617","0.0392156862745098","-0.0059371583869032","0.0843685309359228","0","0","0"
"Al-Qadissiya","Al-Diwaniya","0","0","0","0.6","0.495092419286137","0.704907580713862","0.366666666666667","0.263472977361783","0.469860355971551","0.0333333333333333","-0.00510627865295796","0.0717729453196246","0","0","0"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0","0","0","0.523255813953488","0.434147643293695","0.612363984613282","0.383720930232558","0.296961988202203","0.470479872262913","0.0116279069767442","-0.00749829798780782","0.0307541119412962","0.0813953488372093","0.0326108432040175","0.130179854470401"
"Al-Sulaymaniyah","Chamchamal","0","0","0","0.566666666666667","0.460551824340694","0.672781508992639","0.366666666666667","0.263472977361783","0.469860355971551","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.05","0.0033288979786166","0.0966711020213834"
"Al-Sulaymaniyah","Derbendikhan","0","0","0","0.475409836065574","0.36936347152856","0.581456200602588","0.475409836065574","0.36936347152856","0.581456200602588","0.0163934426229508","-0.0105713709336307","0.0433582561795323","0.0327868852459016","-0.00502800116951722","0.0706017716613205"
"Al-Sulaymaniyah","Dokan","0","0","0","0.433333333333333","0.327218491007361","0.539448175659306","0.566666666666667","0.460551824340694","0.672781508992639","0","0","0","0","0","0"
"Al-Sulaymaniyah","Halabcha","0","0","0","0.360655737704918","0.258687376273447","0.462624099136389","0.524590163934426","0.418543799397412","0.63063652847144","0.0983606557377049","0.0351225625044597","0.16159874897095","0.0163934426229508","-0.0105713709336307","0.0433582561795323"
"Al-Sulaymaniyah","Kalar","0","0","0","0.666666666666667","0.565719300058032","0.767614033275301","0.283333333333333","0.186837471548783","0.379829195117884","0.05","0.00332889797861663","0.0966711020213833","0","0","0"
"Al-Sulaymaniyah","Rania","0","0","0","0.625","0.524674201591775","0.725325798408225","0.25","0.160265877944907","0.339734122055093","0.125","0.0564644322103553","0.193535567789645","0","0","0"
"Babil","Al-Mussyab","0","0","0","0.6","0.495092419286137","0.704907580713862","0.366666666666667","0.263472977361783","0.469860355971551","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Baghdad","Al-Adhamiya","0","0","0","0.625","0.552002259327376","0.697997740672624","0.341666666666667","0.270154818191412","0.413178515141921","0.025","0.00145893598615394","0.048541064013846","0.00833333333333333","-0.00537378022459559","0.0220404468912622"
"Baghdad","Al-Kadhmiyah","0","0","0","0.478813559322034","0.425212533647717","0.532414584996351","0.478813559322034","0.425212533647717","0.532414584996351","0.0211864406779661","0.00573488131265767","0.0366380000432745","0.0211864406779661","0.00573488131265768","0.0366380000432745"
"Baghdad","Al-Karkh","0.00892857142857143","-0.00575762166920955","0.0236147645263524","0.553571428571428","0.475959479210123","0.631183377932734","0.401785714285714","0.325245195243583","0.478326233327845","0.0267857142857143","0.00157868760562406","0.0519927409658045","0.00892857142857143","-0.00575762166920957","0.0236147645263524"
"Baghdad","Al-Mahmoudiya","0","0","0","0.551440329218107","0.498853262304974","0.60402739613124","0.419753086419753","0.367570819443409","0.471935353396098","0.0205761316872428","0.00556592125078551","0.0355863421237001","0.00823045267489712","-0.00132248225012022","0.0177833875999145"
"Diyala","Al-Khalis","0.000482891331638816","-0.0003487791225325","0.00131456178581013","0.526082276579394","0.421307154410361","0.630857398748426","0.462406765126249","0.355211667395026","0.569601862857471","0.0110280669627189","-0.00225439129180663","0.0243105252172443","0","0","0"
"Diyala","Al-Muqdadiya","0","0","0","0.514851485148515","0.432645091785653","0.597057878511377","0.455445544554455","0.373530033778671","0.53736105533024","0.0297029702970297","0.00177884691764218","0.0576270936764172","0","0","0"
"Diyala","Baquba","0.0125786163522013","-0.000975480828114939","0.0261327135325174","0.735849056603774","0.666749615108256","0.804948498099291","0.232704402515723","0.160802672904349","0.304606132127097","0.0188679245283019","0.00154996160208355","0.0361858874545202","0","0","0"
"Diyala","Khanaqin","0","0","0","0.579166140754124","0.458160593298981","0.700171688209268","0.387083003541755","0.274943113461586","0.499222893621923","0.0327759476732491","0.00292463305364534","0.0626272622928527","0.00097490803087205","-0.000675129375445158","0.00262494543718926"
"Diyala","Kifri","0","0","0","0.707317073170732","0.624161662518025","0.790472483823438","0.280487804878049","0.198384466006566","0.362591143749532","0.0121951219512195","-0.00786406862135944","0.0322543125237985","0","0","0"
"Duhok","Al-Amadiya","0","0","0","0.342857142857143","0.197795304696506","0.48791898101778","0.514285714285714","0.426178033013563","0.602393395557865","0.1","0.0354647260382893","0.164535273961711","0.0428571428571429","0.00679198502422392","0.0789223006900618"
"Duhok","Duhok","0","0","0","0.33","0.260089689466817","0.399910310533183","0.5","0.447232063351186","0.552767936648814","0.12","0.0806608228893565","0.159339177110643","0.05","0.0129831791137857","0.0870168208862143"
"Duhok","Sumail","0","0","0","0.317757009345794","0.257272863460138","0.378241155231451","0.560747663551402","0.497311857248906","0.624183469853898","0.11214953271028","0.0639347100307356","0.160364355389825","0.00934579439252337","-0.00196626134180708","0.0206578501268538"
"Duhok","Zakho","0","0","0","0.347826086956522","0.188165764168522","0.507486409744521","0.504347826086956","0.427569068729302","0.581126583444611","0.0695652173913043","0.010678424770864","0.128452010011745","0.0782608695652174","0.0214773760453034","0.135044363085131"
"Erbil","Erbil","0.00952011658067714","-0.00650085281630372","0.025541085977658","0.393627405010955","0.262983272321937","0.524271537699973","0.473090962859565","0.368427741752708","0.577754183966422","0.0571206994840628","0.0218440943213336","0.092397304646792","0.06664081606474","-0.0238203158369429","0.157101947966423"
"Erbil","Koysinjaq","0","0","0","0.583333333333333","0.477760050301676","0.68890661636499","0.383333333333333","0.279217979204724","0.487448687461943","0.0333333333333333","-0.00510627865295796","0.0717729453196246","0","0","0"
"Erbil","Rawanduz","0","0","0","0.368421052631579","0.313744477774466","0.423097627488692","0.578947368421053","0.442255931278271","0.715638805563834","0","0","0","0.0526315789473684","-0.0293832833383006","0.134646441233037"
"Erbil","Shaqlawa","0","0","0","0.361111111111111","0.21122322040695","0.510999001815273","0.518518518518519","0.400525230529848","0.636511806507189","0.111111111111111","0.0561394738238499","0.166082748398372","0.00925925925925926","-0.00532401058851534","0.0238425291070338"
"Kerbala","Kerbela","0","0","0","0.4","0.295092419286137","0.504907580713862","0.533333333333333","0.426500682312008","0.640165984354659","0.05","0.00332889797861662","0.0966711020213833","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Kirkuk","Al-Hawiga","0","0","0","0.34375","0.236212710623706","0.451287289376294","0.635416666666667","0.535697126797859","0.735136206535474","0.0208333333333333","-0.00310463968125589","0.0447713063479225","0","0","0"
"Kirkuk","Daquq","0","0","0","0.58977098551839","0.464662702059326","0.714879268977454","0.351045110854799","0.243718646210956","0.458371575498643","0.0502259387415097","-0.0145130590448164","0.114964936527836","0.00895796488530053","-0.00169224078739874","0.0196081705579998"
"Kirkuk","Dibis","0.00452514155138062","0.00172123534493593","0.00732904775782531","0.782515217171067","0.74911737583726","0.815913058504875","0.180597489001596","0.145900080276226","0.215294897726966","0.0278370107245757","0.0189775639387185","0.0366964575104328","0.00452514155138062","0.00172123534493591","0.00732904775782532"
"Kirkuk","Kirkuk","0","0","0","0.764321830052526","0.687846245110161","0.84079741499489","0.197035655261565","0.133205996010058","0.260865314513071","0.0193212573429549","0.00452080655046625","0.0341217081354434","0.0193212573429549","0.00366771468399518","0.0349748000019145"
"Ninewa","Al-Baaj","0","0","0","0.279220779220779","0.219564448498007","0.338877109943551","0.623376623376623","0.558943314591421","0.687809932161825","0.0454545454545455","0.0177552636985401","0.0731538272105508","0.051948051948052","0.0224371663900313","0.0814589375060726"
"Ninewa","Al-Hamdaniya","0","0","0","0.462068965517241","0.39373089521967","0.530407035814813","0.503448275862069","0.43491433795073","0.571982213773408","0.0137931034482759","-0.00219367752944516","0.0297798844259969","0.0206896551724138","0.0011785078540092","0.0402008024908184"
"Ninewa","Al-Shikhan","0","0","0","0.308646967982505","0.219262560168239","0.39803137579677","0.530273274046522","0.461935363335468","0.598611184757577","0.122809151567474","0.0687667661622563","0.176851536972691","0.0382706064034991","0.0205894597199923","0.0559517530870058"
"Ninewa","Aqra","0","0","0","0.367713004484305","0.307618803754347","0.427807205214263","0.560538116591928","0.479930307296717","0.64114592588714","0.0448430493273543","0.0197454792621762","0.0699406193925323","0.0269058295964126","0.0232644258003693","0.0305472333924558"
"Ninewa","Sinjar","0","0","0","0.267716535433071","0.202835287272142","0.332597783594","0.645669291338583","0.575580035919301","0.715758546757864","0.062992125984252","0.0273915735296523","0.0985926784388516","0.0236220472440945","0.00136796272033591","0.045876131767853"
"Ninewa","Telafar","0","0","0","0.278688524590164","0.211645201032929","0.345731848147399","0.647540983606557","0.576104097705136","0.718977869507979","0.0409836065573771","0.0113385233262895","0.0706286897884646","0.0327868852459016","0.00615844427760294","0.0594153262142003"
"Salah Al-Din","Al-Daur","0","0","0","0.615880108903331","0.520542063132655","0.711218154674006","0.369620443410543","0.275365394107278","0.463875492713808","0.0144994476861264","-0.00943900388709338","0.0384378992593462","0","0","0"
"Salah Al-Din","Al-Shirqat","0","0","0","0.167346305568689","0.108142672790202","0.226549938347176","0.714996107174713","0.643902602812904","0.786089611536522","0.0905058363512294","0.038534795623329","0.14247687707913","0.0271517509053688","0.00603579339838273","0.0482677084123549"
"Salah Al-Din","Balad","0","0","0","0.533898305084746","0.458039859717062","0.609756750452429","0.440677966101695","0.365181615619443","0.516174316583946","0.0254237288135593","0.00148716167867591","0.0493602959484427","0","0","0"
"Salah Al-Din","Beygee","0","0","0","0.205694870864283","0.144508505420392","0.266881236308173","0.592401228089134","0.495846913756656","0.688955542421611","0.127853747535442","0.0421866452977923","0.213520849773092","0.0740501535111417","-0.00324404916305944","0.151344356185343"
"Salah Al-Din","Samarra","0","0","0","0.466666666666667","0.391442648056346","0.541890685276987","0.508333333333333","0.432952062753032","0.583714603913634","0.0166666666666667","-0.00263649871429156","0.0359698320476249","0.00833333333333333","-0.00537378022459559","0.0220404468912622"
"Salah Al-Din","Tikrit","0","0","0","0.516949152542373","0.440959464091498","0.592938840993248","0.415254237288136","0.340320929521914","0.490187545054357","0.0338983050847458","0.00637917254299166","0.0614174376264998","0.0338983050847458","0.00637917254299162","0.0614174376264999"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.38669054395047","0.323688353881319","0.449692734019622","0.580456177973993","0.515031981927888","0.645880374020099","0.0185617547493176","0.00408602064499605","0.0330374888536391","0.0142915233262189","-0.000141056235390031","0.0287241028878278"
"Thi-Qar","Al-Nasiriya","0","0","0","0.266666666666667","0.0722657456581699","0.461067587675163","0.6","0.384638107067778","0.815361892932222","0.133333333333333","-0.0161038433658909","0.282770510032557","0","0","0"
"Wassit","Al-Kut","0","0","0","0.770642201834862","0.690456533986064","0.850827869683661","0.220183486238532","0.135722183072406","0.304644789404658","0.00917431192660551","-0.00479438537578665","0.0231430092289977","0","0","0"
NA,"Al-Falluja","0","0","0","0.4","-0.00290520875973405","0.802905208759734","0.6","0.197094791240266","1.00290520875973","0","0","0","0","0","0"
