"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Ramadi","0","0","0","0.450241142320395","0.324955951882648","0.575526332758142","0.513570597548983","0.411313738636336","0.61582745646163","0.0361882601306216","-0.0100442337617496","0.0824207540229927","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.214285714285714","0.108729738658167","0.319841689913262","0.738095238095238","0.624990242018799","0.851200234171677","0.0476190476190476","-0.00716442943160925","0.102402524669704","0","0","0"
"Al-Anbar","Heet","0","0","0","0.566666666666667","0.198476651466767","0.934856681866566","0.433333333333333","0.065143318133434","0.801523348533232","0","0","0","0","0","0"
"Al-Basrah","Al-Basrah","0","0","0","0.592592592592593","0.481577534189251","0.703607650995934","0.407407407407407","0.296392349004066","0.518422465810749","0","0","0","0","0","0"
"Al-Najaf","Al-Kufa","0","0","0","0.525423728813559","0.417573490035559","0.63327396759156","0.423728813559322","0.317002695973766","0.530454931144878","0.0508474576271186","0.00339967851364522","0.098295236740592","0","0","0"
"Al-Najaf","Al-Najaf","0","0","0","0.431372549019608","0.316164607245397","0.546580490793818","0.529411764705882","0.413304449862249","0.645519079549516","0.0392156862745098","-0.00593715838690321","0.0843685309359228","0","0","0"
"Al-Qadissiya","Al-Diwaniya","0","0","0","0.416666666666667","0.31109338363501","0.522239949698324","0.516666666666667","0.409655315797523","0.62367801753581","0.0666666666666667","0.013250341156004","0.120082992177329","0","0","0"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0","0","0","0.5","0.410795287415185","0.589204712584815","0.406976744186047","0.319329462178747","0.494624026193346","0.0116279069767442","-0.00749829798780781","0.0307541119412962","0.0813953488372093","0.0326108432040175","0.130179854470401"
"Al-Sulaymaniyah","Chamchamal","0","0","0","0.516666666666667","0.409655315797523","0.62367801753581","0.383333333333333","0.279217979204724","0.487448687461943","0.05","0.0033288979786166","0.0966711020213834","0.05","0.00332889797861659","0.0966711020213834"
"Al-Sulaymaniyah","Derbendikhan","0","0","0","0.426229508196721","0.321216646696451","0.531242369696991","0.524590163934426","0.418543799397412","0.63063652847144","0.0163934426229508","-0.0105713709336307","0.0433582561795323","0.0327868852459016","-0.00502800116951722","0.0706017716613205"
"Al-Sulaymaniyah","Dokan","0","0","0","0.35","0.247860917703765","0.452139082296235","0.65","0.547860917703765","0.752139082296235","0","0","0","0","0","0"
"Al-Sulaymaniyah","Halabcha","0","0","0","0.327868852459016","0.22818410274642","0.427553602171613","0.557377049180328","0.451903602743984","0.662850495616672","0.0983606557377049","0.0351225625044597","0.16159874897095","0.0163934426229508","-0.0105713709336307","0.0433582561795323"
"Al-Sulaymaniyah","Kalar","0","0","0","0.65","0.547860917703765","0.752139082296235","0.3","0.201867943923348","0.398132056076652","0.05","0.0033288979786166","0.0966711020213834","0","0","0"
"Al-Sulaymaniyah","Rania","0","0","0","0.5625","0.459696648315533","0.665303351684467","0.3125","0.216445360996668","0.408554639003332","0.125","0.0564644322103553","0.193535567789645","0","0","0"
"Babil","Al-Mussyab","0","0","0","0.583333333333333","0.477760050301676","0.68890661636499","0.383333333333333","0.279217979204724","0.487448687461943","0.0166666666666667","-0.0107475604491912","0.0440808937825245","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Baghdad","Al-Adhamiya","0","0","0","0.603305785123967","0.529848764063973","0.676762806183961","0.355371900826446","0.283504358638713","0.42723944301418","0.0330578512396694","0.00621218478385945","0.0599035176954794","0.00826446280991736","-0.00532936881778079","0.0218582944376155"
"Baghdad","Al-Kadhmiyah","0","0","0","0.388429752066116","0.315104849200783","0.461754654931449","0.578512396694215","0.504224029056805","0.652800764331625","0.0247933884297521","0.00140025820180762","0.0481865186576965","0.00826446280991736","-0.00535554418206129","0.021884469801896"
"Baghdad","Al-Karkh","0.00884955752212389","-0.00570666926505726","0.023405784309305","0.530973451327434","0.453410672161945","0.608536230492922","0.424778761061947","0.347951190708803","0.501606331415091","0.0265486725663717","0.00156267047942612","0.0515346746533172","0.00884955752212389","-0.00570666926505727","0.023405784309305"
"Baghdad","Al-Mahmoudiya","0","0","0","0.398373983739837","0.325336691647715","0.47141127583196","0.560975609756098","0.486938034266982","0.635013185245213","0.032520325203252","0.00605761995181688","0.0589830304546872","0.00813008130081301","-0.0052670149797537","0.0215271775813797"
"Diyala","Al-Khalis","0.00934579439252336","-0.00264714315112345","0.0213387319361702","0.542056074766355","0.360826100319208","0.723286049213503","0.383177570093458","0.230150948209244","0.536204191977671","0.0654205607476635","0.00429603324486438","0.126545088250463","0","0","0"
"Diyala","Baquba","0","0","0","0.584905660377358","0.48752428341586","0.682287037338857","0.39622641509434","0.303651595627528","0.488801234561151","0.0188679245283019","0.00154996160208355","0.0361858874545202","0","0","0"
"Diyala","Khanaqin","0","0","0","0.445954968250976","0.340998668961587","0.550911267540366","0.52587325047365","0.434767331875515","0.616979169071785","0.0187811875169161","0.00108765935953603","0.0364747156742961","0.00939059375845803","-0.00291495425380834","0.0216961417707244"
"Diyala","Kifri","0","0","0","0.634146341463415","0.546115836283116","0.722176846643713","0.341463414634146","0.254797806153592","0.428129023114701","0.024390243902439","-0.00380208064366168","0.0525825684485397","0","0","0"
"Duhok","Al-Amadiya","0","0","0","0.271428571428571","0.152212996882101","0.390644145975041","0.571428571428571","0.497360344274217","0.645496798582925","0.114285714285714","0.0538518641177936","0.174719564453635","0.0428571428571429","0.00679198502422392","0.0789223006900618"
"Duhok","Duhok","0","0","0","0.32","0.253253253104911","0.386746746895089","0.49","0.441050056981307","0.538949943018693","0.14","0.0884685445558284","0.191531455444172","0.05","0.0129831791137857","0.0870168208862143"
"Duhok","Sumail","0","0","0","0.177570093457944","0.125061574271693","0.230078612644195","0.672897196261682","0.595680418644151","0.750113973879213","0.14018691588785","0.085580795401926","0.194793036373775","0.00934579439252337","-0.00196626134180709","0.0206578501268538"
"Duhok","Zakho","0","0","0","0.321739130434783","0.175027481475036","0.468450779394529","0.51304347826087","0.441857236447099","0.58422972007464","0.0869565217391304","0.0344782291411794","0.139434814337081","0.0782608695652174","0.0214773760453034","0.135044363085131"
"Erbil","Erbil","0.00952352877079412","-0.00650338896109012","0.0255504465026783","0.355554900465186","0.242267855811275","0.468841945119098","0.501592167972902","0.409246846524796","0.593937489421007","0.0666647013955588","0.0313945492461247","0.101934853544993","0.0666647013955588","-0.023828155075103","0.157157557866221"
"Erbil","Koysinjaq","0","0","0","0.45","0.343465848167892","0.556534151832108","0.516666666666667","0.409655315797523","0.62367801753581","0.0333333333333333","-0.00510627865295797","0.0717729453196246","0","0","0"
"Erbil","Rawanduz","0","0","0","0.353535353535353","0.23278915502433","0.474281552046377","0.515151515151515","0.353157621421875","0.677145408881155","0.0101010101010101","0.00385575194768247","0.0163462682543377","0.121212121212121","0.0814484125733903","0.160975829850852"
"Erbil","Shaqlawa","0","0","0","0.314814814814815","0.180797209705761","0.448832419923868","0.537037037037037","0.435364581130269","0.638709492943805","0.138888888888889","0.0612587040580434","0.216519073719734","0.00925925925925926","-0.00532401058851535","0.0238425291070339"
"Kerbala","Kerbela","0","0","0","0.4","0.295092419286137","0.504907580713863","0.516666666666667","0.409655315797523","0.62367801753581","0.0666666666666667","0.013250341156004","0.120082992177329","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Kirkuk","Daquq","0","0","0","0.323076923076923","0.193500554499602","0.452653291654244","0.523076923076923","0.398294316476159","0.647859529677687","0.146153846153846","0.00183890129670775","0.290468791010985","0.00769230769230769","-0.00585146908618439","0.0212360844707998"
"Kirkuk","Dibis","0","0","0","0.6875","0.576164334036438","0.798835665963562","0.270833333333333","0.167346740923542","0.374319925743124","0.0416666666666667","0.00489567277977426","0.0784376605535591","0","0","0"
"Kirkuk","Kirkuk","0","0","0","0.565714285714286","0.491084439772915","0.640344131655657","0.377142857142857","0.296584427031818","0.457701287253896","0.0342857142857143","0.00660407990861991","0.0619673486628087","0.0228571428571429","-0.00184390296329394","0.0475581886775796"
"Ninewa","Al-Baaj","0","0","0","0.150684931506849","0.0811727211037781","0.22019714190992","0.753424657534246","0.66967433104852","0.837174984019973","0.0684931506849315","0.0194127194449209","0.117573581924942","0.0273972602739726","-0.00432127205985799","0.0591157926078032"
"Ninewa","Al-Hamdaniya","0","0","0","0.356164383561644","0.263056951518017","0.449271815605271","0.575342465753425","0.47923563902348","0.671449292483369","0.0410958904109589","0.00249845997647133","0.0796933208454464","0.0273972602739726","-0.00434171624001196","0.0591362367879571"
"Ninewa","Al-Mosul","0","0","0","0.241379310344828","0.147832024733914","0.334926595955741","0.655172413793103","0.551264738033788","0.759080089552419","0.0862068965517241","0.024849945387898","0.14756384771555","0.0172413793103448","-0.0112149096453101","0.0456976682659997"
"Ninewa","Al-Shikhan","0","0","0","0.258113094273567","0.204323883628374","0.31190230491876","0.583499325149471","0.524460278073956","0.642538372224987","0.117324133760712","0.0643568219475713","0.170291445573853","0.0410634468162493","0.0266702146256046","0.055456679006894"
"Ninewa","Aqra","0","0","0","0.331838565022422","0.290005322192261","0.373671807852583","0.57847533632287","0.526323209580334","0.630627463065406","0.062780269058296","0.0417706696000246","0.0837898685165673","0.0269058295964126","0.0232644258003693","0.0305472333924558"
"Ninewa","Sinjar","0","0","0","0.140625","0.0683472791187648","0.212902720881235","0.640625","0.540864711485295","0.740385288514705","0.21875","0.132799012615187","0.304700987384813","0","0","0"
"Ninewa","Telafar","0","0","0","0.258064516129032","0.165572605171945","0.35055642708612","0.645161290322581","0.544025195232076","0.746297385413086","0.0645161290322581","0.0125872631609779","0.116444994903538","0.032258064516129","-0.00508891369342451","0.0696050427256825"
"Salah Al-Din","Balad","0","0","0","0.593220338983051","0.486735097467053","0.699705580499048","0.355932203389831","0.252143228408456","0.459721178371205","0.0508474576271186","0.00322580990106803","0.0984691053531692","0","0","0"
"Salah Al-Din","Samarra","0","0","0","0.263157894736842","0.166062953646826","0.360252835826858","0.649122807017544","0.543892172837169","0.754353441197919","0.087719298245614","0.0253439473426199","0.150094649148608","0","0","0"
"Salah Al-Din","Tikrit","0","0","0","0.333333333333333","0.232001497094217","0.43466516957245","0.5","0.392521357167854","0.607478642832146","0.116666666666667","0.0476605045848975","0.185672828748436","0.05","0.00315114573057726","0.0968488542694227"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.339266542590448","0.253484239052013","0.425048846128883","0.588730452435434","0.533666185693735","0.643794719177133","0.0381192379274742","0.00242929624274079","0.0738091796122075","0.0338837670466437","0.00117007298310871","0.0665974611101787"
"Thi-Qar","Al-Nasiriya","0","0","0","0.566666666666667","0.460551824340694","0.672781508992639","0.35","0.247860917703765","0.452139082296235","0.0833333333333333","0.0241476934266066","0.14251897324006","0","0","0"
"Wassit","Al-Kut","0","0","0","0.680260739395577","0.581378742002895","0.779142736788259","0.303752297574202","0.205719468532798","0.401785126615606","0.0159869630302211","-0.000944039006339204","0.0329179650667815","0","0","0"
NA,"Al-Falluja","0","0","0","0.216825555156458","0.107258358334617","0.326392751978298","0.666573202849143","0.569602223435327","0.763544182262958","0.1166012419944","0.048416935796957","0.184785548191843","0","0","0"
