"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Kaim","0","0","0","0.432432432432432","0.337057610228204","0.527807254636661","0.567567567567568","0.472192745363339","0.662942389771796","0","0","0","0","0","0"
"Al-Anbar","Al-Ramadi","0","0","0","0.378943273590629","0.250585963899837","0.507300583281421","0.60889939994137","0.471636789293088","0.746162010589651","0.0121573264680016","-0.00853021389318415","0.0328448668291874","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.415384615384615","0.313482739113541","0.51728649165569","0.569230769230769","0.466833499294661","0.671628039166877","0.0153846153846154","-0.0100660116791291","0.0408352424483599","0","0","0"
"Al-Anbar","Ana","0","0","0","0.457446808510638","0.372474533747409","0.542419083273868","0.521276595744681","0.43607215586361","0.606481035625751","0.0212765957446809","-0.00333653396573192","0.0458897254550936","0","0","0"
"Al-Anbar","Heet","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"Baghdad","Al-Kadhmiyah","0","0","0","0.426086956521739","0.349775804437426","0.502398108606053","0.530434782608696","0.453418988130646","0.607450577086746","0.00869565217391304","-0.00563184818850215","0.0230231525363282","0.0347826086956522","0.00650716116232335","0.063058056228981"
"Baghdad","Al-Mahmoudiya","0","0","0","0.575","0.500333431147521","0.649666568852479","0.391666666666667","0.317939605932571","0.465393727400763","0.025","0.00141857098187702","0.048581429018123","0.00833333333333333","-0.00539728331252167","0.0220639499791883"
"Diyala","Al-Khalis","0","0","0","0.17741935483871","0.087815936819361","0.267022772858058","0.782258064516129","0.690970138933968","0.87354599009829","0.0403225806451613","-0.00153059237746368","0.0821757536677862","0","0","0"
"Diyala","Al-Muqdadiya","0","0","0","0.099009900990099","0.0498821843813543","0.148137617598844","0.831683168316832","0.770141397761905","0.893224938871758","0.0693069306930693","0.0275317026005393","0.111082158785599","0","0","0"
"Diyala","Khanaqin","0","0","0","0.479262320151119","0.379946161411844","0.578578478890393","0.485236767245095","0.392613730607062","0.577859803883127","0.0355009126037866","0.000859041184038498","0.0701427840235347","0","0","0"
"Kirkuk","Al-Hawiga","0","0","0","0.394736842105263","0.281550253439355","0.507923430771172","0.578947368421053","0.475587816516565","0.68230692032554","0.0263157894736842","-0.00641019692413379","0.0590417758715022","0","0","0"
"Kirkuk","Daquq","0","0","0","0.276119402985075","0.0915060887000229","0.460732717270126","0.67910447761194","0.513660299519328","0.844548655704553","0.0373134328358209","0.00345770508857401","0.0711691605830678","0.00746268656716418","-0.00557398392012914","0.0204993570544575"
"Kirkuk","Dibis","0.0056980056980057","0.00378618643841113","0.00760982495760026","0.843304843304843","0.822400199543203","0.864209487066484","0.122507122507123","0.10536488701062","0.139649358003625","0.0227920227920228","0.0151447457536446","0.030439299830401","0.0056980056980057","0.00378618643841113","0.00760982495760027"
"Kirkuk","Kirkuk","0","0","0","0.791666666666667","0.684924203510825","0.898409129822508","0.191666666666667","0.0925332536643109","0.290800079669022","0.00833333333333333","-0.0036455053832374","0.0203121720499041","0.00833333333333333","-0.00364550538323741","0.0203121720499041"
"Ninewa","Al-Baaj","0","0","0","0.109756097560976","0.0524481166154426","0.167064078506509","0.780487804878049","0.704602328886952","0.856373280869145","0.0365853658536585","0.00216570426665832","0.0710050274406587","0.0731707317073171","0.0254271667261093","0.120914296688525"
"Ninewa","Al-Hamdaniya","0","0","0","0.361111111111111","0.267073869581386","0.455148352640836","0.611111111111111","0.515669086110795","0.706553136111427","0.0138888888888889","-0.00902313564489135","0.0368009134226691","0.0138888888888889","-0.00902313564489139","0.0368009134226691"
"Ninewa","Al-Mosul","0","0","0","0.19672131147541","0.11198359913134","0.281459023819479","0.737704918032787","0.64393698983156","0.831472846234014","0.0491803278688525","0.00308438567439566","0.0952762700633092","0.0163934426229508","-0.0106750266712152","0.0434619119171169"
"Ninewa","Al-Shikhan","0","0","0","0.504254851020836","0.179943998680422","0.828565703361249","0.355439918136005","0.12960312942655","0.581276706845459","0.102890502618317","0.000144600501719314","0.205636404734915","0.0374147282248426","-0.00691204192874789","0.0817414983784331"
"Ninewa","Sinjar","0","0","0","0.2","0.117476977884562","0.282523022115438","0.738461538461539","0.647795037516237","0.82912803940684","0.0153846153846154","-0.0100070837278271","0.0407763144970578","0.0461538461538462","0.00286677039251056","0.0894409219151817"
"Ninewa","Telafar","0","0","0","0.216666666666667","0.128145707914198","0.305187625419136","0.7","0.601533976012086","0.798466023987914","0.05","0.00317006455474316","0.0968299354452568","0.0333333333333333","-0.00523709825908927","0.0719037649257559"
"Salah Al-Din","Al-Daur","0","0","0","0.593941410780277","0.499844246704153","0.688038574856401","0.391606064484296","0.297839920982506","0.485372207986085","0.0144525247354272","-0.00941481587087411","0.0383198653417286","0","0","0"
"Salah Al-Din","Al-Shirqat","0","0","0","0.131004576978303","0.0833660048308371","0.17864314912577","0.751318959487509","0.691615883867319","0.811022035107699","0.0905203565647601","0.0385400428730616","0.142500670256459","0.027156106969428","0.00603719152074774","0.0482750224181083"
"Salah Al-Din","Balad","0","0","0","0.406779661016949","0.300294419500952","0.513264902532947","0.593220338983051","0.486735097467053","0.699705580499048","0","0","0","0","0","0"
"Salah Al-Din","Beygee","0","0","0","0.0822911515766006","0.0150741993071742","0.149508103846027","0.666558327770465","0.581234377195303","0.751882278345627","0.177088484233994","0.0979858918536273","0.256191076614361","0.0740620364189405","-0.00324558983813625","0.151369662676017"
"Salah Al-Din","Samarra","0","0","0","0.317460317460317","0.219831728418591","0.415088906502044","0.650793650793651","0.550809524488132","0.750777777099169","0.0158730158730159","-0.0103404008650818","0.0420864326111136","0.0158730158730159","-0.0103404008650818","0.0420864326111136"
"Salah Al-Din","Tikrit","0","0","0","0.379310344827586","0.273226709210397","0.485393980444775","0.551724137931034","0.442994618760845","0.660453657101224","0.0517241379310345","0.00330380442295726","0.100144471439112","0.0172413793103448","-0.0112178563670029","0.0457006149876925"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.124463519313305","0.0844111905343674","0.164515848092242","0.84549356223176","0.803755213034276","0.887231911429244","0.0257510729613734","0.00351912758096046","0.0479830183417863","0.00429184549356223","-0.00300216126433055","0.011585852251455"
NA,"Al-Falluja","0","0","0","0.51402744457649","0.376862218945106","0.651192670207873","0.48597255542351","0.348807329792127","0.623137781054894","0","0","0","0","0","0"
