"governorate","district","hno_severity_1","hno_severity_1_min","hno_severity_1_max","hno_severity_2","hno_severity_2_min","hno_severity_2_max","hno_severity_3","hno_severity_3_min","hno_severity_3_max","hno_severity_4","hno_severity_4_min","hno_severity_4_max","hno_severity_5","hno_severity_5_min","hno_severity_5_max"
"","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","","","Inter-Sectoral Severity","",""
"","","1","","","2","","","3","","","4","","","5","",""
"","","None/Minimal","","","Stress","","","Severe","","","Extreme","","","Catastrophic","",""
"","","categorical","","","categorical","","","categorical","","","categorical","","","categorical","",""
"Al-Anbar","Al-Kaim","0","0","0","0.472972972972973","0.376855923059393","0.569090022886553","0.432432432432432","0.337057610228204","0.527807254636661","0.0945945945945946","0.0382541164541187","0.15093507273507","0","0","0"
"Al-Anbar","Al-Ramadi","0","0","0","0.2","-0.128970725390295","0.528970725390294","0.4","-0.00290520875973405","0.802905208759734","0.4","-0.00290520875973405","0.802905208759734","0","0","0"
"Al-Anbar","Al-Rutba","0","0","0","0.401869158878505","0.323541569424182","0.480196748332828","0.457943925233645","0.378345846863971","0.537542003603319","0.14018691588785","0.0847205017879346","0.195653329987766","0","0","0"
"Al-Anbar","Ana","0.0106382978723404","-0.00686014496756885","0.0281367407122497","0.48936170212766","0.404099319744223","0.574624084511096","0.393617021276596","0.310288011925872","0.47694603062732","0.106382978723404","0.0537936567022328","0.158972300744576","0","0","0"
"Al-Najaf","Al-Kufa","0","0","0","0.355932203389831","0.252522166264295","0.459342240515366","0.542372881355932","0.434771432387439","0.649974330324425","0.101694915254237","0.0364157175262005","0.166974112982274","0","0","0"
"Al-Najaf","Al-Najaf","0","0","0","0.372549019607843","0.260082341383564","0.485015697832123","0.411764705882353","0.297281349546286","0.52624806221842","0.215686274509804","0.120011286433794","0.311361262585814","0","0","0"
"Al-Qadissiya","Al-Diwaniya","0","0","0","0.566666666666667","0.460551824340694","0.672781508992639","0.366666666666667","0.263472977361783","0.469860355971551","0.0666666666666667","0.013250341156004","0.120082992177329","0","0","0"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0","0","0","0.255813953488372","0.177970755393798","0.333657151582946","0.511627906976744","0.422447320075287","0.600808493878201","0.151162790697674","0.0872551994324545","0.215070381962894","0.0813953488372093","0.0326108432040176","0.130179854470401"
"Al-Sulaymaniyah","Chamchamal","0","0","0","0.433333333333333","0.327218491007361","0.539448175659306","0.333333333333333","0.232385966724698","0.434280699941968","0.183333333333333","0.100473437463916","0.266193229202751","0.05","0.00332889797861662","0.0966711020213834"
"Al-Sulaymaniyah","Derbendikhan","0","0","0","0.262295081967213","0.168886227773971","0.355703936160455","0.573770491803279","0.468757630303009","0.678783353303549","0.131147540983607","0.0594664304848764","0.202828651482337","0.0327868852459016","-0.00502800116951718","0.0706017716613204"
"Al-Sulaymaniyah","Dokan","0","0","0","0.3","0.201867943923348","0.398132056076652","0.5","0.392929148792165","0.607070851207835","0.2","0.114343319033732","0.285656680966268","0","0","0"
"Al-Sulaymaniyah","Halabcha","0","0","0","0.39344262295082","0.289706913968378","0.497178331933261","0.491803278688525","0.385642701555633","0.597963855821416","0.0983606557377049","0.0351225625044597","0.16159874897095","0.0163934426229508","-0.0105713709336307","0.0433582561795323"
"Al-Sulaymaniyah","Kalar","0","0","0","0.383333333333333","0.279217979204724","0.487448687461943","0.5","0.392929148792165","0.607070851207835","0.116666666666667","0.0479223252981227","0.185411008035211","0","0","0"
"Al-Sulaymaniyah","Rania","0","0","0","0.34375","0.245323284329083","0.442176715670917","0.453125","0.34996530980622","0.55628469019378","0.203125","0.119750398284295","0.286499601715705","0","0","0"
"Babil","Al-Mussyab","0","0","0","0.466666666666667","0.359834015645341","0.573499317687992","0.283333333333333","0.186837471548783","0.379829195117884","0.233333333333333","0.142761546808497","0.32390511985817","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Baghdad","Al-Adhamiya","0","0","0","0.541666666666667","0.466537157225722","0.616796176107612","0.316666666666667","0.246525779522668","0.386807553810665","0.133333333333333","0.0820768045901172","0.184589862076549","0.00833333333333333","-0.0053737802245956","0.0220404468912623"
"Baghdad","Al-Kadhmiyah","0","0","0","0.440677966101695","0.387407688750658","0.493948243452732","0.394067796610169","0.341636473696062","0.446499119524277","0.144067796610169","0.106389048399359","0.18174654482098","0.0211864406779661","0.00573488131265768","0.0366380000432745"
"Baghdad","Al-Karkh","0.00892857142857143","-0.00575762166920957","0.0236147645263524","0.401785714285714","0.325245195243583","0.478326233327845","0.428571428571429","0.351310779846753","0.505832077296105","0.151785714285714","0.0957668876286276","0.207804540942801","0.00892857142857143","-0.00575762166920952","0.0236147645263524"
"Baghdad","Al-Mahmoudiya","0","0","0","0.493827160493827","0.440963591681319","0.546690729306335","0.362139917695473","0.311321576430577","0.41295825896037","0.135802469135802","0.0995798443264649","0.17202509394514","0.00823045267489712","-0.00132248225012024","0.0177833875999145"
"Diyala","Al-Khalis","0.000482891331638816","-0.0003487791225325","0.00131456178581013","0.488808921036436","0.379050506650875","0.598567335421997","0.452344480826807","0.356196550848021","0.548492410805594","0.0583637068051182","0.0133439131687977","0.103383500441439","0","0","0"
"Diyala","Al-Muqdadiya","0","0","0","0.504950495049505","0.422711844909509","0.587189145189501","0.405940594059406","0.325166250629767","0.486714937489045","0.0891089108910891","0.0422468858888963","0.135970935893282","0","0","0"
"Diyala","Baquba","0.0125786163522013","-0.000975480828114937","0.0261327135325174","0.691823899371069","0.603224443347601","0.780423355394538","0.245283018867925","0.15966875520263","0.330897282533219","0.050314465408805","0.00710112620754445","0.0935278046100656","0","0","0"
"Diyala","Khanaqin","0","0","0","0.615791237333584","0.503930922998128","0.72765155166904","0.332780988469863","0.232454729856626","0.433107247083099","0.0504532910255135","0.0135461577223622","0.0873604243286649","0.000974483171039909","-0.000674804746883231","0.00262377108896305"
"Diyala","Kifri","0","0","0","0.634146341463415","0.546115836283116","0.722176846643713","0.24390243902439","0.165418329067832","0.322386548980949","0.121951219512195","0.0621462679203159","0.181756171104074","0","0","0"
"Duhok","Al-Amadiya","0","0","0","0.2","0.0887875967021064","0.311212403297893","0.471428571428571","0.344379353672943","0.5984777891842","0.285714285714286","0.121890858364072","0.449537713064499","0.0428571428571429","0.00679198502422392","0.0789223006900618"
"Duhok","Duhok","0","0","0","0.21","0.14828418737082","0.27171581262918","0.44","0.382094299180113","0.497905700819887","0.3","0.219153589682748","0.380846410317252","0.05","0.0129831791137857","0.0870168208862143"
"Duhok","Sumail","0","0","0","0.289719626168224","0.23363745403354","0.345801798302909","0.476635514018692","0.394186067586514","0.559084960450869","0.224299065420561","0.151933678161596","0.296664452679525","0.00934579439252337","-0.00196626134180708","0.0206578501268538"
"Duhok","Zakho","0","0","0","0.269565217391304","0.168708736606534","0.370421698176075","0.426086956521739","0.33654407145135","0.515629841592128","0.226086956521739","0.116466986550674","0.335706926492804","0.0782608695652174","0.0214773760453034","0.135044363085131"
"Erbil","Erbil","0.00951641489375829","-0.00649810266531401","0.0255309324528306","0.371140180856573","0.242492483710709","0.499787878002437","0.400465861693227","0.303181056782976","0.497750666603479","0.152262638300133","0.0861642299200898","0.218361046680176","0.0666149042563081","-0.0238118196188037","0.15704162813142"
"Erbil","Koysinjaq","0","0","0","0.383333333333333","0.279217979204724","0.487448687461943","0.333333333333333","0.232385966724698","0.434280699941968","0.283333333333333","0.186837471548783","0.379829195117884","0","0","0"
"Erbil","Rawanduz","0","0","0","0.368421052631579","0.262246614922421","0.474595490340737","0.526315789473684","0.410061081605852","0.642570497341516","0.0526315789473684","-0.0293832833383006","0.134646441233037","0.0526315789473684","-0.0293832833383006","0.134646441233037"
"Erbil","Shaqlawa","0","0","0","0.305555555555556","0.183040507629168","0.428070603481943","0.527777777777778","0.428633591357675","0.626921964197881","0.157407407407407","0.0980670587969436","0.216747756017871","0.00925925925925926","-0.00532401058851534","0.0238425291070338"
"Kerbala","Kerbela","0","0","0","0.383333333333333","0.279217979204724","0.487448687461943","0.5","0.392929148792165","0.607070851207835","0.1","0.0357574892752989","0.164242510724701","0.0166666666666667","-0.0107475604491912","0.0440808937825245"
"Kirkuk","Al-Hawiga","0","0","0","0.28125","0.16270055808919","0.39979944191081","0.666666666666667","0.554211772519754","0.77912156081358","0.0520833333333333","0.00233514825331673","0.10183151841335","0","0","0"
"Kirkuk","Daquq","0","0","0","0.537477893118032","0.404854346235363","0.6701014400007","0.32041958221197","0.231819487645163","0.409019676778777","0.133144559784698","0.0576036682850995","0.208685451284297","0.00895796488530053","-0.00169224078739874","0.0196081705579998"
"Kirkuk","Dibis","0.00452514155138062","0.00172123534493593","0.00732904775782531","0.745971004051876","0.713816590363041","0.778125417740711","0.181830817652848","0.162961338294986","0.20070029701071","0.0631478951925143","0.0374553745352486","0.08884041584978","0.00452514155138062","0.00172123534493591","0.00732904775782532"
"Kirkuk","Kirkuk","0","0","0","0.667921391520626","0.596626925753642","0.739215857287609","0.262851439137336","0.217113001659723","0.308589876614949","0.0499059119990837","0.0188955820151448","0.0809162419830225","0.0193212573429549","0.00366771468399518","0.0349748000019145"
"Ninewa","Al-Baaj","0","0","0","0.246753246753247","0.189423290091839","0.304083203414655","0.649350649350649","0.585896839846145","0.712804458855153","0.051948051948052","0.0224371663900314","0.0814589375060725","0.051948051948052","0.0224371663900313","0.0814589375060726"
"Ninewa","Al-Hamdaniya","0","0","0","0.413793103448276","0.346283882458028","0.481302324438523","0.475862068965517","0.407406410848897","0.544317727082137","0.0896551724137931","0.0504957163887441","0.128814628438842","0.0206896551724138","0.00117850785400921","0.0402008024908184"
"Ninewa","Al-Shikhan","0","0","0","0.255006443993248","0.186088501621735","0.323924386364761","0.458205713317516","0.399859516927403","0.51655190970763","0.248590564815306","0.147381915721836","0.349799213908776","0.0381972778739299","0.0205571137640413","0.0558374419838185"
"Ninewa","Aqra","0","0","0","0.318385650224215","0.294307580837385","0.342463719611046","0.47085201793722","0.350093079156205","0.591610956718234","0.183856502242152","0.0820457297634366","0.285667274720868","0.0269058295964126","0.0232644258003693","0.0305472333924558"
"Ninewa","Sinjar","0","0","0","0.244094488188976","0.181150431885583","0.30703854449237","0.645669291338583","0.575580035919301","0.715758546757864","0.0866141732283465","0.0453983858941145","0.127829960562578","0.0236220472440945","0.00136796272033592","0.045876131767853"
"Ninewa","Telafar","0","0","0","0.270491803278689","0.204067544903983","0.336916061653394","0.60655737704918","0.533508890995359","0.679605863103001","0.0901639344262295","0.0473354631489691","0.13299240570349","0.0327868852459016","0.00615844427760295","0.0594153262142003"
"Salah Al-Din","Al-Daur","0","0","0","0.586346232343177","0.48890153528391","0.683790929402444","0.370012762948337","0.275556988810307","0.464468537086366","0.0436410047084861","0.00242343238638221","0.0848585770305899","0","0","0"
"Salah Al-Din","Al-Shirqat","0","0","0","0.226225194281024","0.144471860430451","0.307978528131597","0.66057756730059","0.555470672085146","0.765684462516034","0.0860502151046636","0.0436312774715273","0.1284691527378","0.0271470233137229","0.00603427303837824","0.0482597735890675"
"Salah Al-Din","Balad","0","0","0","0.508474576271186","0.432452112451761","0.584497040090612","0.364406779661017","0.291222605221338","0.437590954100695","0.127118644067797","0.0764643158013445","0.177772972334249","0","0","0"
"Salah Al-Din","Beygee","0","0","0","0.230338133244116","0.140811958284315","0.319864308203917","0.625203504519744","0.523791205260901","0.726615803778586","0.07042110512196","0.0288476885437794","0.111994521700141","0.0740372571141802","-0.00324238403247998","0.15131689826084"
"Salah Al-Din","Samarra","0","0","0","0.391666666666667","0.318065806644138","0.465267526689195","0.366666666666667","0.294004948263847","0.439328385069486","0.233333333333333","0.16955906872434","0.297107597942327","0.00833333333333333","-0.00537378022459559","0.0220404468912622"
"Salah Al-Din","Tikrit","0","0","0","0.432203389830508","0.356872203296876","0.507534576364141","0.440677966101695","0.365181615619443","0.516174316583946","0.0932203389830508","0.0490082994141446","0.137432378551957","0.0338983050847458","0.00637917254299163","0.0614174376264999"
"Salah Al-Din","Tooz Khurmato","0","0","0","0.466566390757538","0.418989708977021","0.514143072538056","0.489106905131856","0.435184248122838","0.543029562140873","0.0300444264274998","0.00369899898341853","0.056389853871581","0.0142822776831063","-0.000140942435904746","0.0287054978021173"
"Thi-Qar","Al-Nasiriya","0","0","0","0.266666666666667","0.0722657456581698","0.461067587675163","0.533333333333333","0.31401951640647","0.752647150260196","0.2","0.0241577507587175","0.375842249241282","0","0","0"
"Wassit","Al-Kut","0","0","0","0.73394495412844","0.648226249514217","0.819663658742663","0.229357798165138","0.158496970613864","0.300218625716411","0.036697247706422","0.0150381052859184","0.0583563901269256","0","0","0"
NA,"Al-Falluja","0","0","0","0.2","-0.128970725390295","0.528970725390294","0.4","-0.00290520875973405","0.802905208759734","0.4","-0.00290520875973405","0.802905208759734","0","0","0"
