"Governorate","district","psu","Location.Name","popgroup","pop","stratum"
"Al-Anbar","al.falluja",33940,"Amriyat Al-Fallujahsector 3","idp",115,"al.fallujaidp"
"Al-Anbar","al.falluja",107,"Al Amiriyah","idp",658,"al.fallujaidp"
"Al-Anbar","al.falluja",26088,"Ahl Al-Ramadi 74","idp",64,"al.fallujaidp"
"Al-Anbar","al.falluja",26092,"Al-Amirya-Al Mouilha","idp",241,"al.fallujaidp"
"Al-Anbar","al.falluja",33941,"Amriyat Al-Fallujahsector 50","idp",75,"al.fallujaidp"
"Al-Anbar","al.falluja",26087,"Al-Amirya-Albu Salman","idp",173,"al.fallujaidp"
"Al-Anbar","al.falluja",26036,"Al-Amirya-Albu Jasim","idp",19,"al.fallujaidp"
"Al-Anbar","al.falluja",26085,"Al-Amirya-Albu Jaber","idp",218,"al.fallujaidp"
"Al-Anbar","al.falluja",33939,"Amriyat Al-Fallujah sector 4","idp",112,"al.fallujaidp"
"Al-Anbar","al.falluja",26037,"Al-Amirya-Albu Jwad","idp",160,"al.fallujaidp"
"Al-Anbar","al.falluja",26091,"Al-Amirya-Al Hmedin","idp",110,"al.fallujaidp"
"Al-Anbar","al.falluja",23853,"Hay Al-Madani","idp",12,"al.fallujaidp"
"Al-Anbar","al.ramadi",23858,"Abu Fless","idp",57,"al.ramadiidp"
"Al-Anbar","al.ramadi",33826,"AL-Karama complex","idp",77,"al.ramadiidp"
"Al-Anbar","al.ramadi",23889,"7 Killo-al-mojamaa al-sakany","idp",474,"al.ramadiidp"
"Al-Anbar","al.ramadi",308,"5 Kilo","idp",129,"al.ramadiidp"
"Al-Anbar","al.ramadi",115,"Al Sofeya","idp",225,"al.ramadiidp"
"Al-Anbar","al.ramadi",182,"Qadisiya-1","idp",53,"al.ramadiidp"
"Al-Anbar","al.rutba",166,"Hay Al Meethagh","idp",100,"al.rutbaidp"
"Al-Anbar","al.rutba",231,"Al Wadi","idp",86,"al.rutbaidp"
"Al-Anbar","al.rutba",165,"Al Askaree","idp",80,"al.rutbaidp"
"Al-Anbar","al.rutba",150,"Al Haara","idp",54,"al.rutbaidp"
"Al-Anbar","al.rutba",167,"Antesar","idp",63,"al.rutbaidp"
"Al-Anbar","al.rutba",23935,"Al-Daraemah Village","idp",40,"al.rutbaidp"
"Al-Anbar","al.rutba",233,"Hay Al-Matar","idp",43,"al.rutbaidp"
"Al-Anbar","al.rutba",23888,"Gharb Al-Wadi","idp",20,"al.rutbaidp"
"Al-Anbar","heet",34002,"Al-shuhdaa  1","idp",28,"heetidp"
"Al-Anbar","heet",152,"Al Muhamdee","idp",65,"heetidp"
"Al-Anbar","heet",312,"Al-Ummal","idp",16,"heetidp"
"Al-Anbar","heet",219,"Hay Al-Jabal","idp",48,"heetidp"
"Al-Anbar","heet",33822,"Hay- Amina","idp",8,"heetidp"
"Al-Anbar","heet",23885,"Hay Al-jamyah 2","idp",14,"heetidp"
"Al-Basrah","al.basrah",857,"As-safat-Al Qadima","idp",6,"al.basrahidp"
"Al-Basrah","al.basrah",21097,"Manawi Lajim Quarter","idp",17,"al.basrahidp"
"Al-Basrah","al.basrah",1308,"Al-Baker & Al-Ahrar","idp",8,"al.basrahidp"
"Al-Basrah","al.basrah",847,"Al-meshraq al-qadeem","idp",10,"al.basrahidp"
"Al-Basrah","al.basrah",891,"Manawi pasha","idp",12,"al.basrahidp"
"Al-Basrah","al.basrah",24126,"Hay Al Jamiah","idp",10,"al.basrahidp"
"Al-Basrah","al.basrah",907,"Braiha","idp",7,"al.basrahidp"
"Al-Basrah","al.basrah",893,"Kut al-hejaj","idp",10,"al.basrahidp"
"Al-Basrah","al.basrah",898,"Al Khaleej1","idp",6,"al.basrahidp"
"Al-Basrah","al.basrah",1295,"Door Al Dubbat","idp",9,"al.basrahidp"
"Al-Basrah","al.basrah",24182,"Casino Lebnan","idp",10,"al.basrahidp"
"Al-Najaf","al.kufa",20340,"Al Hureya","idp",6,"al.kufaidp"
"Al-Najaf","al.kufa",25890,"Sader 3","idp",15,"al.kufaidp"
"Al-Najaf","al.kufa",20298,"Al Barakiya","idp",68,"al.kufaidp"
"Al-Najaf","al.kufa",20046,"Al Kreishat 2","idp",6,"al.kufaidp"
"Al-Najaf","al.kufa",24311,"Alwat Al Fahal","idp",125,"al.kufaidp"
"Al-Najaf","al.kufa",20304,"AL-RADHAWIYA","idp",253,"al.kufaidp"
"Al-Najaf","al.najaf",29598,"Al Salam Complex","idp",185,"al.najafidp"
"Al-Najaf","al.najaf",34007,"Hay AL Karrar","idp",250,"al.najafidp"
"Al-Najaf","al.najaf",20341,"Al-Qasim","idp",60,"al.najafidp"
"Al-Najaf","al.najaf",25431,"Hay Al Ameer","idp",67,"al.najafidp"
"Al-Najaf","al.najaf",29658,"Al-Shaheed Al-Sadar-Shareet","idp",42,"al.najafidp"
"Al-Najaf","al.najaf",26015,"Al-Ameriya","idp",10,"al.najafidp"
"Al-Najaf","al.najaf",29621,"Mazara Al-Hawli","idp",120,"al.najafidp"
"Al-Najaf","al.najaf",20338,"AL JEDAIDA","idp",56,"al.najafidp"
"Al-Najaf","al.najaf",20287,"Al-Ghadeer Village complex","idp",100,"al.najafidp"
"Al-Najaf","al.najaf",20122,"Hay missan 230","idp",65,"al.najafidp"
"Al-Qadissiya","al.diwaniya",25568,"Hay Al-Amin 2","idp",11,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",25070,"Hay Al-Hussain","idp",7,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",24436,"Albo Hasan village","idp",10,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",24903,"Hay Al Sadir 2","idp",8,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",2943,"Al hamad village","idp",20,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",22815,"Hay Al Jumhori Al Sharqi","idp",7,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",22326,"Al Mojamaa Al Sakani","idp",33,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",23681,"Hay Al Furat-2","idp",6,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",23715,"Hay Al-Hadarah","idp",12,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",22452,"Qaryat Al Ensaf","idp",18,"al.diwaniyaidp"
"Al-Qadissiya","al.diwaniya",25509,"Al-Taamem-2","idp",6,"al.diwaniyaidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5808,"Bazyan-shwankara","idp",35,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5930,"Wluba 326","idp",163,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",23926,"Dargazen","idp",39,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21021,"Sabun karan Qt","idp",64,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5122,"Arbat-Kharajian","idp",7,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5744,"Bardakar","idp",59,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21033,"Tavga","idp",90,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",21036,"Farmanbaran","idp",163,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",5737,"Awbara","idp",194,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",33357,"Mushirawa 406 & 206","idp",51,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",4441,"Sarchnar","idp",432,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",33348,"Chwar chra New","idp",13,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",24816,"Saib City","idp",235,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",24255,"Sarwary 142","idp",104,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",31982,"Handren 109","idp",41,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","al.sulaymaniyah",31988,"Khwar kurdsat 134","idp",63,"al.sulaymaniyahidp"
"Al-Sulaymaniyah","chamchamal",21719,"Shahidan","idp",6,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",3461,"hashazini","idp",6,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",33380,"Awa Spi","idp",37,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24894,"Chamchamal-Raparin","idp",184,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",6159,"Chamchamal-Rizgari","idp",33,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",21976,"Ashti","idp",93,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24688,"Asuda","idp",184,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",21717,"Qadir Kir Mikan","idp",78,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24250,"Qarahanjiriakan","idp",38,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",4933,"Piryadi","idp",112,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",20813,"SANGAWIAKAN","idp",59,"chamchamalidp"
"Al-Sulaymaniyah","chamchamal",24813,"Takya-Azadi","idp",35,"chamchamalidp"
"Al-Sulaymaniyah","derbendikhan",6301,"Hawara barza","idp",90,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24251,"Kanito","idp",114,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",29515,"Shoresh","idp",23,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24670,"Sara","idp",80,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",24253,"Campe khwarw","idp",34,"derbendikhanidp"
"Al-Sulaymaniyah","derbendikhan",29517,"Khelan","idp",112,"derbendikhanidp"
